student_id,college_id,job_id,rank_position,match_score,predicted_relevance_score,skill_overlap_count,skill_gap_count,skill_gap_list,years_exposure_avg,jd_seniority_level,ai_trust_score,verified_skill_count,feature_importances_json,task16_explanation
S0008,C001,J014,4,0.9,0.763,3,1,Java,4.9,2,0.95,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 4.
S0060,C003,J005,1,0.87,0.76,5,0,,4.2,4,0.82,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0030,C005,J019,1,0.68,0.605,3,2,"Git,Docker",0.9,1,0.83,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0001,C005,J016,5,0.83,0.752,3,0,,2.1,4,0.86,4,,Good match overall for this role based on profile.
S0069,C004,J015,1,0.64,0.624,2,3,"Docker,K8s,React",2.0,2,0.98,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.
S0019,C002,J001,5,0.81,0.741,5,2,"Java,K8s",3.2,1,0.94,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0040,C001,J010,3,0.59,0.488,4,1,K8s,3.3,5,0.95,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 3.
S0058,C004,J018,5,0.92,0.782,2,0,,4.8,4,0.75,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0036,C003,J018,1,0.85,0.749,3,0,,2.1,5,0.91,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.
S0089,C004,J013,3,0.54,0.441,2,0,,4.2,1,0.79,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0016,C002,J005,3,0.77,0.698,2,3,"AWS,Docker,SQL",0.3,2,0.83,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0009,C004,J010,2,0.78,0.662,4,1,React,0.4,5,0.77,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 2.
S0017,C004,J007,1,0.77,0.678,5,0,,1.9,3,0.77,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.
S0092,C005,J020,4,0.85,0.797,4,0,,3.4,4,0.98,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 4.
S0038,C001,J006,2,0.51,0.506,2,2,"K8s,SQL",2.8,4,0.72,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0054,C001,J003,1,0.91,0.865,5,0,,0.5,5,0.78,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0050,C004,J005,1,0.62,0.553,4,0,,2.1,5,0.9,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.
S0069,C002,J015,1,0.69,0.664,3,2,"AWS,Java",1.9,2,0.81,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0098,C001,J009,3,0.56,0.455,4,1,Git,2.9,5,0.97,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 3.
S0001,C001,J019,5,0.77,0.666,2,3,"Python,Docker,React",3.9,3,0.79,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0057,C003,J017,5,0.78,0.722,4,2,"Python,Docker",2.8,3,0.96,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0030,C004,J010,3,0.81,0.759,3,3,"Docker,K8s,React",3.1,2,0.8,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0023,C001,J016,3,0.56,0.518,5,3,"AWS,SQL,K8s",0.9,2,0.76,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 3.
S0022,C005,J006,1,0.74,0.652,3,1,AWS,3.1,3,0.97,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.
S0099,C001,J020,2,0.84,0.759,3,0,,0.3,3,0.77,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0018,C003,J006,3,0.68,0.572,4,0,,0.9,1,0.94,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 3.
S0013,C001,J020,1,0.81,0.758,2,1,Java,1.4,4,0.89,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.
S0033,C005,J006,4,0.88,0.751,3,2,"React,SQL",3.5,2,0.87,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0094,C001,J006,3,0.87,0.805,4,3,"React,K8s,Git",1.6,3,0.76,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 3.
S0014,C002,J006,5,0.73,0.7,2,2,"Git,K8s",0.3,4,0.76,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0073,C005,J017,1,0.77,0.69,4,0,,4.6,4,0.98,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0076,C002,J003,3,0.92,0.85,5,3,"K8s,React,AWS",0.8,5,0.77,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0042,C005,J018,3,0.78,0.706,4,2,"Java,SQL",2.7,3,0.86,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0064,C002,J020,5,0.72,0.672,4,3,"SQL,Docker,AWS",3.7,4,0.87,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0031,C005,J015,4,0.71,0.649,4,0,,2.7,5,0.77,5,,Good match overall for this role based on profile.
S0036,C003,J004,2,0.61,0.534,4,1,Python,4.6,2,0.88,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0100,C004,J016,4,0.86,0.726,4,1,K8s,0.5,1,0.97,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 4.
S0036,C002,J001,3,0.77,0.683,2,0,,1.7,4,0.93,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 3.
S0090,C001,J011,2,0.71,0.637,4,0,,2.9,3,0.83,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 2.
S0070,C004,J001,1,0.85,0.743,3,3,"Docker,SQL,Java",2.1,4,0.86,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0094,C005,J019,3,0.86,0.759,3,0,,3.1,5,0.84,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0047,C003,J018,2,0.74,0.664,3,1,SQL,4.7,2,0.78,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0032,C004,J018,5,0.68,0.617,4,3,"SQL,AWS,React",4.4,4,0.77,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0016,C003,J004,4,0.8,0.69,4,2,"React,AWS",0.6,3,0.87,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0020,C005,J011,2,0.87,0.769,4,3,"Docker,Git,React",1.1,2,0.92,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 2.
S0087,C003,J017,2,0.51,0.436,5,1,React,4.5,2,0.78,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0100,C002,J009,2,0.75,0.69,3,3,"React,AWS,Python",4.4,2,0.87,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 2.
S0026,C001,J014,2,0.57,0.537,4,0,,3.0,2,0.72,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 2.
S0059,C001,J007,3,0.93,0.827,5,1,Git,0.8,4,0.71,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0026,C001,J002,5,0.65,0.57,2,0,,3.5,2,0.83,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0051,C004,J006,2,0.55,0.476,4,2,"K8s,AWS",0.9,3,0.91,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0082,C001,J012,3,0.94,0.89,4,3,"AWS,Docker,Java",1.6,5,0.91,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0082,C005,J020,3,0.64,0.609,2,1,Git,3.5,2,0.91,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0093,C004,J013,2,0.73,0.65,5,1,React,4.4,5,0.81,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0029,C004,J017,5,0.52,0.466,5,3,"Git,Docker,React",2.1,5,0.91,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0068,C002,J018,5,0.52,0.42,3,2,"Java,SQL",4.0,5,0.73,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0062,C003,J013,2,0.58,0.571,4,3,"Git,SQL,Python",1.2,2,0.81,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 2.
S0005,C005,J015,1,0.73,0.667,2,0,,2.6,2,0.9,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0089,C005,J009,4,0.76,0.643,2,3,"SQL,React,K8s",4.3,2,0.93,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0088,C002,J015,3,0.83,0.747,3,0,,1.1,5,0.96,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0058,C005,J003,2,0.74,0.702,2,1,Java,3.5,3,0.77,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0007,C004,J005,3,0.93,0.834,4,2,"AWS,Python",0.0,2,0.94,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 3.
S0046,C005,J017,1,0.78,0.678,5,0,,3.9,3,0.92,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.
S0060,C004,J015,5,0.55,0.539,5,3,"React,Java,Git",2.9,1,0.72,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0076,C005,J004,3,0.56,0.53,4,0,,0.1,3,0.77,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 3.
S0004,C005,J017,3,0.7,0.596,4,0,,3.5,4,0.94,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0067,C003,J017,4,0.51,0.482,4,3,"SQL,Git,React",1.6,2,0.96,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0025,C001,J012,2,0.89,0.798,5,3,"SQL,AWS,Docker",4.2,4,0.71,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 2.
S0003,C004,J020,1,0.5,0.46,3,3,"K8s,Java,SQL",1.6,2,0.93,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0018,C005,J018,3,0.81,0.765,3,0,,0.2,3,0.73,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 3.
S0020,C004,J001,2,0.85,0.809,2,1,AWS,0.4,2,0.98,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0044,C002,J017,3,0.56,0.544,2,1,React,4.0,3,0.84,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0022,C002,J003,1,0.57,0.507,3,0,,3.3,1,0.95,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.
S0008,C005,J019,4,0.75,0.697,3,0,,5.0,1,0.84,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 4.
S0054,C005,J015,1,0.88,0.759,2,0,,4.2,5,0.8,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0049,C002,J019,1,0.7,0.653,5,0,,4.5,2,0.99,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0018,C005,J008,5,0.83,0.71,5,3,"Python,Docker,Java",0.9,5,0.72,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0084,C001,J002,1,0.68,0.659,3,0,,1.6,4,0.74,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.
S0067,C002,J014,2,0.7,0.647,2,0,,2.2,3,0.98,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 2.
S0037,C001,J015,5,0.74,0.694,5,3,"Java,SQL,Python",1.3,2,0.74,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0070,C003,J005,5,0.54,0.446,4,1,React,0.1,1,0.89,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0050,C003,J012,4,0.56,0.467,5,3,"Java,Docker,React",3.4,5,0.98,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0043,C002,J010,2,0.61,0.582,4,3,"K8s,React,Java",1.1,5,0.89,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 2.
S0064,C002,J006,1,0.89,0.85,2,0,,1.4,3,0.95,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0070,C003,J002,2,0.9,0.792,2,2,"SQL,AWS",1.8,5,0.81,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 2.
S0035,C001,J012,2,0.76,0.651,3,1,AWS,2.6,4,0.71,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 2.
S0079,C005,J012,4,0.77,0.719,3,1,Git,2.2,5,0.96,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0021,C004,J013,3,0.55,0.494,5,0,,1.4,3,0.97,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0030,C004,J018,2,0.62,0.549,2,1,Java,3.5,1,0.86,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0044,C001,J013,2,0.55,0.445,3,1,K8s,3.1,2,0.8,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0091,C002,J005,4,0.62,0.59,5,2,"Java,K8s",2.1,5,0.75,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0081,C005,J016,5,0.79,0.722,5,2,"Docker,Git",0.7,3,0.87,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0075,C001,J007,4,0.87,0.793,3,1,SQL,3.0,1,0.79,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 4.
S0049,C005,J002,4,0.86,0.747,2,3,"Git,Java,K8s",1.0,2,0.99,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 4.
S0008,C004,J012,2,0.93,0.805,4,2,"AWS,React",3.3,4,0.84,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 2.
S0084,C005,J008,4,0.61,0.566,5,1,Git,3.5,4,0.79,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 4.
S0091,C002,J009,1,0.64,0.566,4,0,,2.6,3,0.93,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
