row_index,probability,score_meaning,decision,decision_label,threshold_used,model_version,model_name,calibration_method
10,0.985606,Calibrated (isotonic) probability that the tumor is BENIGN (positive class = 1). A value near 1.0 means high confidence of benign; near 0.0 means high confidence of malignant. The 'decision' field applies the operating threshold (0.37) chosen in Task 12 to minimize the real clinical cost of errors — it is NOT a plain 0.5 cutoff.,1,benign,0.37,sha256:f27b186532ae8d4e,logreg,isotonic
11,0.0,Calibrated (isotonic) probability that the tumor is BENIGN (positive class = 1). A value near 1.0 means high confidence of benign; near 0.0 means high confidence of malignant. The 'decision' field applies the operating threshold (0.37) chosen in Task 12 to minimize the real clinical cost of errors — it is NOT a plain 0.5 cutoff.,0,malignant,0.37,sha256:f27b186532ae8d4e,logreg,isotonic
12,0.985606,Calibrated (isotonic) probability that the tumor is BENIGN (positive class = 1). A value near 1.0 means high confidence of benign; near 0.0 means high confidence of malignant. The 'decision' field applies the operating threshold (0.37) chosen in Task 12 to minimize the real clinical cost of errors — it is NOT a plain 0.5 cutoff.,1,benign,0.37,sha256:f27b186532ae8d4e,logreg,isotonic
13,0.045678,Calibrated (isotonic) probability that the tumor is BENIGN (positive class = 1). A value near 1.0 means high confidence of benign; near 0.0 means high confidence of malignant. The 'decision' field applies the operating threshold (0.37) chosen in Task 12 to minimize the real clinical cost of errors — it is NOT a plain 0.5 cutoff.,0,malignant,0.37,sha256:f27b186532ae8d4e,logreg,isotonic
14,0.985606,Calibrated (isotonic) probability that the tumor is BENIGN (positive class = 1). A value near 1.0 means high confidence of benign; near 0.0 means high confidence of malignant. The 'decision' field applies the operating threshold (0.37) chosen in Task 12 to minimize the real clinical cost of errors — it is NOT a plain 0.5 cutoff.,1,benign,0.37,sha256:f27b186532ae8d4e,logreg,isotonic
15,0.0,Calibrated (isotonic) probability that the tumor is BENIGN (positive class = 1). A value near 1.0 means high confidence of benign; near 0.0 means high confidence of malignant. The 'decision' field applies the operating threshold (0.37) chosen in Task 12 to minimize the real clinical cost of errors — it is NOT a plain 0.5 cutoff.,0,malignant,0.37,sha256:f27b186532ae8d4e,logreg,isotonic
16,0.985606,Calibrated (isotonic) probability that the tumor is BENIGN (positive class = 1). A value near 1.0 means high confidence of benign; near 0.0 means high confidence of malignant. The 'decision' field applies the operating threshold (0.37) chosen in Task 12 to minimize the real clinical cost of errors — it is NOT a plain 0.5 cutoff.,1,benign,0.37,sha256:f27b186532ae8d4e,logreg,isotonic
17,1.0,Calibrated (isotonic) probability that the tumor is BENIGN (positive class = 1). A value near 1.0 means high confidence of benign; near 0.0 means high confidence of malignant. The 'decision' field applies the operating threshold (0.37) chosen in Task 12 to minimize the real clinical cost of errors — it is NOT a plain 0.5 cutoff.,1,benign,0.37,sha256:f27b186532ae8d4e,logreg,isotonic
18,1.0,Calibrated (isotonic) probability that the tumor is BENIGN (positive class = 1). A value near 1.0 means high confidence of benign; near 0.0 means high confidence of malignant. The 'decision' field applies the operating threshold (0.37) chosen in Task 12 to minimize the real clinical cost of errors — it is NOT a plain 0.5 cutoff.,1,benign,0.37,sha256:f27b186532ae8d4e,logreg,isotonic
19,0.0,Calibrated (isotonic) probability that the tumor is BENIGN (positive class = 1). A value near 1.0 means high confidence of benign; near 0.0 means high confidence of malignant. The 'decision' field applies the operating threshold (0.37) chosen in Task 12 to minimize the real clinical cost of errors — it is NOT a plain 0.5 cutoff.,0,malignant,0.37,sha256:f27b186532ae8d4e,logreg,isotonic
