job_id,title,required_skills,min_experience,required_education,required_certifications
57,Job_57,"SQL,Docker,React",4.5,PhD,"AWS Certified,Cisco"
58,Job_58,"Docker,Git,C++",0.7,Masters,"AWS Certified,Cisco"
59,Job_59,"Node.js,React,Git,C++,Docker,SQL,AWS",1.4,Bachelors,
60,Job_60,"React,SQL,Machine Learning,AWS,Java,Node.js",2.5,Masters,"AWS Certified,Cisco"
61,Job_61,"Java,Machine Learning,Docker",1.8,Masters,"PMP,Scrum Master"
62,Job_62,"Node.js,Machine Learning,Git,Docker",4.3,Bachelors,
63,Job_63,"React,Node.js,Docker,C++,Git,Machine Learning",3.9,Bachelors,
64,Job_64,"AWS,Machine Learning,Java",2.2,PhD,"PMP,Cisco"
65,Job_65,"Docker,C++,AWS",4.5,PhD,Cisco
66,Job_66,"AWS,Python,React,Machine Learning,Node.js,Git,Java",0.5,Bachelors,
67,Job_67,"React,C++,Machine Learning",1.9,Bachelors,"CompTIA,PMP"
68,Job_68,"Python,Docker,Machine Learning,SQL,Git,Java",3.6,Bachelors,Google Cloud
69,Job_69,"Docker,SQL,Python,C++",0.7,Bachelors,"Scrum Master,PMP"
70,Job_70,"Java,Node.js,Python,Git,React",0.8,Bachelors,"CompTIA,Cisco"
71,Job_71,"Docker,Python,React,Node.js,Java",2.5,Bachelors,PMP
72,Job_72,"AWS,Node.js,SQL,Java,Python,Machine Learning,React",1.7,PhD,"CompTIA,PMP"
73,Job_73,"React,Java,AWS,SQL",2.9,Masters,
74,Job_74,"Java,Node.js,Git,SQL,Docker",2.7,Masters,"CompTIA,Scrum Master"
75,Job_75,"Java,Machine Learning,C++,Python,Node.js",4.0,Bachelors,
76,Job_76,"Python,Java,C++,Docker,SQL",4.2,PhD,"AWS Certified,CompTIA"
77,Job_77,"Docker,SQL,React,Python,Git,Node.js,AWS",1.2,Masters,AWS Certified
78,Job_78,"Docker,AWS,SQL,Python,Node.js,Java,Git",1.3,Masters,
79,Job_79,"React,C++,Java,Git",3.0,Bachelors,"CompTIA,PMP"
80,Job_80,"AWS,Machine Learning,Java",2.5,Masters,
81,Job_81,"Python,Node.js,React,Git,Java,C++,AWS",2.7,PhD,"Google Cloud,Cisco"
82,Job_82,"Java,Docker,SQL,Machine Learning,Node.js",2.5,Masters,"Google Cloud,AWS Certified"
83,Job_83,"Machine Learning,AWS,Java,C++,Node.js",1.9,Masters,
84,Job_84,"C++,Python,Git,Java,Machine Learning",3.6,Bachelors,Google Cloud
85,Job_85,"React,SQL,Node.js",4.4,PhD,"Cisco,AWS Certified"
86,Job_86,"Docker,React,Machine Learning,Java",1.2,Bachelors,"Cisco,CompTIA"
87,Job_87,"AWS,Python,Git,Docker",3.6,Masters,"CompTIA,Google Cloud"
88,Job_88,"React,AWS,Machine Learning,Git,Java",0.6,Masters,
89,Job_89,"Docker,React,Java",1.6,Bachelors,PMP
90,Job_90,"Git,React,SQL,Java,Docker",1.6,Masters,"AWS Certified,CompTIA"
91,Job_91,"Node.js,Machine Learning,C++,Python,Java",2.2,Masters,"Google Cloud,AWS Certified"
92,Job_92,"Python,Machine Learning,C++",3.5,Masters,Cisco
93,Job_93,"Node.js,C++,Docker,React,AWS,Python",3.2,PhD,
94,Job_94,"SQL,Node.js,React,Python,Java",3.9,Bachelors,"Scrum Master,CompTIA"
95,Job_95,"Machine Learning,React,C++,Node.js,Python,Git",0.5,Masters,
96,Job_96,"Git,Node.js,Java,React,Docker,Python",1.2,Bachelors,
97,Job_97,"Git,SQL,AWS,Node.js",1.9,PhD,Cisco
98,Job_98,"Node.js,Java,Machine Learning,C++,Git,Docker",1.3,Bachelors,AWS Certified
99,Job_99,"Git,SQL,Machine Learning,C++",4.6,Bachelors,
100,Job_100,"SQL,React,AWS,Machine Learning,Git,Docker",4.3,Bachelors,"PMP,Google Cloud"
101,Job_101,"Python,C++,SQL,Machine Learning,Git,Docker,Node.js",3.7,Bachelors,CompTIA
102,Job_102,"Docker,C++,Java,AWS",0.8,Masters,Google Cloud
103,Job_103,"C++,Python,Docker,Node.js,Machine Learning",1.8,Masters,Cisco
104,Job_104,"Docker,Java,Node.js,Git,Machine Learning",3.6,Bachelors,
105,Job_105,"Machine Learning,C++,Docker,SQL,Java,Git",2.6,Masters,CompTIA
106,Job_106,"Git,Python,Java,Docker",0.7,Masters,
107,Job_107,"Machine Learning,Docker,SQL,C++,AWS,React",3.3,PhD,"Google Cloud,Scrum Master"
108,Job_108,"Java,Python,Machine Learning,Node.js,Docker",4.4,Bachelors,
109,Job_109,"C++,Git,Docker,Machine Learning,Python,React",3.0,Masters,"CompTIA,PMP"
110,Job_110,"Java,React,Git,Machine Learning",2.8,Masters,"PMP,AWS Certified"
111,Job_111,"SQL,Python,Docker,Machine Learning,AWS",4.6,Masters,
112,Job_112,"Git,Java,C++,Node.js",4.0,Masters,
113,Job_113,"Java,Python,Docker,C++,Machine Learning,SQL",3.0,Bachelors,
114,Job_114,"Machine Learning,SQL,Node.js,C++,Java,AWS,Docker",2.9,Masters,"AWS Certified,Google Cloud"
115,Job_115,"AWS,Docker,Machine Learning,C++,Python,Java",2.2,PhD,"Scrum Master,PMP"
116,Job_116,"SQL,Git,Docker,Java,Machine Learning,Python,C++",1.2,Bachelors,
117,Job_117,"Docker,AWS,Git,Machine Learning,SQL",1.7,PhD,
118,Job_118,"Java,React,Git,SQL",4.4,Bachelors,"Cisco,Scrum Master"
119,Job_119,"Git,SQL,Docker,React,Python,Machine Learning",1.7,Masters,
120,Job_120,"AWS,SQL,Machine Learning,Git",4.6,Bachelors,"Scrum Master,PMP"
