candidate_id,name,skills,experience_years,education,certifications
177,Candidate_177,"React,C++,SQL,Java,Docker,Python",4.0,PhD,"Cisco,AWS Certified,Scrum Master"
178,Candidate_178,"Git,React,C++",4.6,PhD,"CompTIA,Cisco,Google Cloud"
179,Candidate_179,"Machine Learning,AWS,Python,Docker",0.6,Bachelors,"PMP,Cisco,AWS Certified"
180,Candidate_180,"Java,Docker,Python,C++,Machine Learning,Node.js",0.7,PhD,"Google Cloud,AWS Certified,Scrum Master"
181,Candidate_181,"Machine Learning,C++,Java",7.6,PhD,"Cisco,PMP"
182,Candidate_182,"Python,SQL,Machine Learning",4.1,Bachelors,"AWS Certified,PMP"
183,Candidate_183,"Node.js,React,Docker,Machine Learning,Python,SQL",5.5,PhD,
184,Candidate_184,"SQL,C++,Machine Learning,Java,React,Docker",5.2,Bachelors,"Cisco,Scrum Master,PMP"
185,Candidate_185,"Python,AWS,Docker,Git,React",3.2,Bachelors,"CompTIA,PMP,AWS Certified"
186,Candidate_186,"Python,Docker,AWS",1.9,Bachelors,Scrum Master
187,Candidate_187,"AWS,Machine Learning,C++,SQL,Git,Node.js",9.4,Masters,"CompTIA,Scrum Master"
188,Candidate_188,"C++,React,Java,Git,AWS",0.8,PhD,"AWS Certified,Google Cloud,PMP"
189,Candidate_189,"Node.js,Machine Learning,SQL,AWS,React",4.5,PhD,Cisco
190,Candidate_190,"Java,React,AWS,Node.js,Git,SQL",6.5,Bachelors,"Cisco,AWS Certified"
191,Candidate_191,"SQL,Machine Learning,AWS",5.8,Masters,Cisco
192,Candidate_192,"Node.js,Docker,Java,AWS,React,C++",1.4,PhD,
193,Candidate_193,"React,Git,Java,AWS,Docker,C++",5.6,Bachelors,"Cisco,AWS Certified"
194,Candidate_194,"SQL,Machine Learning",1.8,Masters,CompTIA
195,Candidate_195,"C++,SQL,Java,React,Docker,Python",4.2,Masters,"Cisco,Google Cloud"
196,Candidate_196,"Machine Learning,Python,C++,AWS,Git",4.1,Bachelors,"Scrum Master,Cisco"
197,Candidate_197,"Docker,C++,React,Python,AWS",3.8,Bachelors,"AWS Certified,Scrum Master"
198,Candidate_198,"AWS,Java,SQL,Node.js",6.6,Masters,"CompTIA,Google Cloud,AWS Certified"
199,Candidate_199,"AWS,Docker,Python,Java,React",1.1,Masters,Google Cloud
200,Candidate_200,"Git,Machine Learning,AWS",6.0,Bachelors,
201,Candidate_201,"C++,Java,Git,Python,React",7.7,Masters,"Google Cloud,Scrum Master,PMP"
202,Candidate_202,"React,Node.js,SQL,Java,Docker,C++",2.2,Bachelors,AWS Certified
203,Candidate_203,"AWS,React",5.3,Bachelors,
204,Candidate_204,"Docker,Java,SQL",0.2,Masters,
205,Candidate_205,"Git,Docker",6.9,PhD,"Scrum Master,PMP,AWS Certified"
206,Candidate_206,"Node.js,Git,SQL,React,Python,Machine Learning",2.3,Bachelors,"PMP,Scrum Master,CompTIA"
207,Candidate_207,"C++,SQL,Node.js,Java,Git,Python",3.9,Masters,
208,Candidate_208,"C++,Docker,Node.js",5.3,Masters,"PMP,CompTIA"
209,Candidate_209,"Node.js,Git,Machine Learning,AWS,SQL",0.3,Masters,"CompTIA,Scrum Master"
210,Candidate_210,"Docker,Git,Machine Learning,C++,SQL,Node.js",0.7,PhD,"Google Cloud,PMP,CompTIA"
211,Candidate_211,"Node.js,Machine Learning,Python,Java,Git",1.5,Bachelors,"Google Cloud,PMP,AWS Certified"
212,Candidate_212,"SQL,Python,Java,React,Docker",6.6,Masters,
213,Candidate_213,"Node.js,SQL,Python,Docker,C++,Machine Learning",2.1,PhD,"Scrum Master,PMP"
214,Candidate_214,"Git,SQL",0.7,Bachelors,"Scrum Master,PMP"
215,Candidate_215,"Python,Git,AWS",8.0,PhD,"Scrum Master,Cisco,AWS Certified"
216,Candidate_216,"Node.js,Machine Learning,Git,SQL",1.7,Bachelors,Cisco
217,Candidate_217,"Python,SQL,Java",7.3,PhD,"AWS Certified,Cisco"
218,Candidate_218,"Machine Learning,Git",8.0,Bachelors,Google Cloud
219,Candidate_219,"Docker,Node.js,SQL,React",6.2,Masters,Google Cloud
220,Candidate_220,"Machine Learning,Python",2.5,PhD,"AWS Certified,Cisco,CompTIA"
221,Candidate_221,"Node.js,Python,Git,React,AWS",4.0,Masters,"PMP,Cisco,Google Cloud"
222,Candidate_222,"Node.js,C++,SQL",5.2,Masters,
223,Candidate_223,"Docker,Machine Learning,Python,Git,React,Node.js",2.8,PhD,
224,Candidate_224,"React,Machine Learning",0.3,Bachelors,
225,Candidate_225,"React,AWS,Python,Java",7.1,Masters,Cisco
226,Candidate_226,"SQL,Docker,C++",9.3,Masters,"AWS Certified,Google Cloud,PMP"
227,Candidate_227,"AWS,Python",0.1,Masters,PMP
228,Candidate_228,"Git,Node.js,C++,AWS,Machine Learning",5.9,Masters,"Scrum Master,AWS Certified"
229,Candidate_229,"C++,Python,AWS,Machine Learning",3.9,PhD,Google Cloud
230,Candidate_230,"Git,SQL,Node.js",5.3,Bachelors,AWS Certified
231,Candidate_231,"React,Docker,Java,C++",1.5,Bachelors,"Cisco,AWS Certified,Scrum Master"
232,Candidate_232,"AWS,Node.js,C++,Java,Docker,React",4.2,Bachelors,CompTIA
233,Candidate_233,"Git,C++,Machine Learning,SQL,Python",7.1,Bachelors,"Cisco,PMP,Google Cloud"
234,Candidate_234,"Java,Git,Docker,C++,Machine Learning",1.3,Masters,CompTIA
235,Candidate_235,"Git,AWS,Docker,Node.js,React,Machine Learning",7.1,Masters,"AWS Certified,CompTIA"
236,Candidate_236,"C++,React",5.5,Masters,"AWS Certified,Cisco,Google Cloud"
237,Candidate_237,"Node.js,Docker,React,Machine Learning,C++",2.0,Masters,Scrum Master
238,Candidate_238,"Node.js,Python",7.4,PhD,"Google Cloud,CompTIA"
239,Candidate_239,"Java,Git,AWS,Docker,Node.js,SQL",7.7,Bachelors,CompTIA
240,Candidate_240,"C++,AWS",7.0,PhD,"Scrum Master,CompTIA"
241,Candidate_241,"React,Machine Learning",6.7,PhD,PMP
242,Candidate_242,"Python,Git,Docker,React,C++",6.1,Bachelors,
243,Candidate_243,"Docker,Java,AWS,React,Node.js,Python",7.8,Masters,"AWS Certified,CompTIA,Cisco"
244,Candidate_244,"Machine Learning,Java,Git,React,AWS",6.9,Bachelors,"PMP,Cisco,CompTIA"
245,Candidate_245,"SQL,Node.js,Git,Python",6.8,Bachelors,Scrum Master
246,Candidate_246,"Docker,Python,React,Git",2.0,PhD,"Google Cloud,Scrum Master,AWS Certified"
247,Candidate_247,"Python,Node.js,C++,SQL,React,Machine Learning",3.2,PhD,"Cisco,AWS Certified,CompTIA"
248,Candidate_248,"Docker,Node.js",6.2,Masters,
249,Candidate_249,"Docker,SQL,C++,Python,Java,Machine Learning",3.6,Bachelors,"PMP,Google Cloud,Cisco"
250,Candidate_250,"Node.js,Git,AWS,C++,React,Python",7.5,Bachelors,"Scrum Master,Cisco,AWS Certified"
251,Candidate_251,"SQL,Java",8.1,Masters,"Cisco,PMP,CompTIA"
252,Candidate_252,"SQL,AWS,Docker,Node.js",1.9,Masters,
253,Candidate_253,"Machine Learning,C++",3.2,Bachelors,
254,Candidate_254,"SQL,React,Git,Node.js,AWS,Python",6.5,Bachelors,"PMP,AWS Certified,Cisco"
255,Candidate_255,"SQL,C++,Python",0.7,Masters,
256,Candidate_256,"Node.js,Machine Learning,C++",7.2,Bachelors,"Cisco,PMP"
257,Candidate_257,"Docker,SQL,Python,C++",5.1,Masters,
258,Candidate_258,"C++,Node.js,Machine Learning,Docker,SQL",4.6,PhD,
259,Candidate_259,"Java,React",7.0,Masters,AWS Certified
260,Candidate_260,"Python,React,SQL",6.1,Bachelors,"CompTIA,PMP"
261,Candidate_261,"SQL,React",8.9,Masters,"PMP,Scrum Master,Google Cloud"
262,Candidate_262,"React,Python,SQL,Java,AWS,Node.js",7.1,Masters,
263,Candidate_263,"Node.js,Python,AWS,SQL,C++,Docker",6.8,Masters,
264,Candidate_264,"Machine Learning,SQL,Git",2.8,PhD,"Scrum Master,CompTIA"
265,Candidate_265,"React,Node.js,AWS,Python,Java",3.5,Masters,Scrum Master
266,Candidate_266,"C++,Machine Learning,Java",2.0,Bachelors,CompTIA
267,Candidate_267,"AWS,C++",8.3,PhD,CompTIA
268,Candidate_268,"Git,C++,AWS",2.9,Masters,"PMP,Google Cloud,CompTIA"
269,Candidate_269,"Git,Python,AWS,React,SQL",4.4,Bachelors,PMP
270,Candidate_270,"AWS,Machine Learning,C++,Java,SQL",8.9,Bachelors,"Cisco,Google Cloud,CompTIA"
271,Candidate_271,"Node.js,AWS,Python",5.0,Bachelors,Scrum Master
272,Candidate_272,"SQL,C++,Node.js,Python,Docker",9.0,PhD,"Cisco,CompTIA,AWS Certified"
273,Candidate_273,"Machine Learning,AWS,Python,SQL",6.7,PhD,"Google Cloud,AWS Certified,Scrum Master"
274,Candidate_274,"SQL,Java,React,Python,C++",4.2,Masters,"Google Cloud,PMP,Cisco"
275,Candidate_275,"Java,Git",4.9,Bachelors,
276,Candidate_276,"Docker,SQL,C++,Machine Learning,Java,AWS",8.6,Bachelors,CompTIA
277,Candidate_277,"AWS,Python,SQL,Machine Learning",2.1,Bachelors,"Scrum Master,AWS Certified"
278,Candidate_278,"SQL,Docker,C++,Node.js",6.1,Masters,PMP
279,Candidate_279,"Docker,Machine Learning",2.2,PhD,"AWS Certified,Cisco"
280,Candidate_280,"SQL,Java,Machine Learning",3.1,Masters,"CompTIA,PMP"
281,Candidate_281,"Git,React,C++,SQL",9.5,Masters,CompTIA
282,Candidate_282,"Python,SQL",3.3,PhD,"CompTIA,Google Cloud"
283,Candidate_283,"Python,Docker,React,SQL,C++,Java",3.9,Bachelors,"Cisco,Scrum Master,PMP"
284,Candidate_284,"AWS,Python,SQL,Git",2.5,Bachelors,Cisco
285,Candidate_285,"SQL,Machine Learning,C++,AWS,Git",9.0,PhD,"Google Cloud,CompTIA,AWS Certified"
286,Candidate_286,"Docker,AWS,SQL",2.0,PhD,"CompTIA,Scrum Master,AWS Certified"
287,Candidate_287,"Docker,Python,AWS,C++",8.9,Bachelors,"PMP,CompTIA,Scrum Master"
288,Candidate_288,"Docker,Machine Learning,React",9.1,Bachelors,"Cisco,AWS Certified"
289,Candidate_289,"Python,Docker,SQL,Java",5.7,Masters,"Google Cloud,CompTIA,AWS Certified"
290,Candidate_290,"Node.js,SQL,AWS",0.5,PhD,
291,Candidate_291,"Git,Java",6.8,Bachelors,"PMP,Google Cloud,Cisco"
292,Candidate_292,"SQL,Java,C++,React,Node.js",2.9,Masters,Cisco
293,Candidate_293,"React,Java",7.2,Masters,"Scrum Master,CompTIA"
294,Candidate_294,"C++,Java,React",4.4,PhD,"AWS Certified,Google Cloud,Scrum Master"
295,Candidate_295,"Java,Git,C++",1.9,PhD,
296,Candidate_296,"SQL,C++",6.7,PhD,AWS Certified
297,Candidate_297,"React,Java",8.7,PhD,"AWS Certified,Scrum Master"
298,Candidate_298,"AWS,React",9.8,Bachelors,"PMP,Google Cloud"
299,Candidate_299,"Docker,Node.js,Git,C++",3.6,PhD,"Scrum Master,PMP,Google Cloud"
300,Candidate_300,"React,SQL,Docker,AWS",2.4,Bachelors,"Google Cloud,CompTIA,Scrum Master"
