job_id,required_skills,required_levels,price_tier
J046,Machine Learning|React|AWS|JavaScript|SQL|Python,Machine Learning:4|React:2|AWS:3|JavaScript:4|SQL:5|Python:5,basic
J047,SQL|Docker|Machine Learning|JavaScript|React|AWS,SQL:5|Docker:3|Machine Learning:2|JavaScript:4|React:3|AWS:3,premium
J048,SQL|AWS|React|JavaScript|Docker,SQL:5|AWS:5|React:5|JavaScript:4|Docker:4,basic
J049,JavaScript|Machine Learning|Docker|SQL|Python|AWS,JavaScript:3|Machine Learning:3|Docker:4|SQL:2|Python:2|AWS:2,premium
J050,AWS|Machine Learning,AWS:3|Machine Learning:2,premium
J051,Machine Learning|Docker|JavaScript|React,Machine Learning:5|Docker:3|JavaScript:4|React:3,basic
J052,JavaScript|Node.js|React|SQL|Python|Docker,JavaScript:3|Node.js:3|React:3|SQL:5|Python:3|Docker:3,premium
J053,React|Docker|AWS|Node.js|Machine Learning|Python,React:3|Docker:5|AWS:3|Node.js:2|Machine Learning:4|Python:4,free
J054,Node.js|SQL,Node.js:4|SQL:5,basic
J055,Python|Machine Learning|Docker|React|AWS,Python:4|Machine Learning:4|Docker:3|React:5|AWS:5,basic
J056,JavaScript|SQL|React|Node.js|Machine Learning|Docker,JavaScript:5|SQL:4|React:4|Node.js:5|Machine Learning:5|Docker:2,premium
J057,Machine Learning|JavaScript|AWS,Machine Learning:2|JavaScript:4|AWS:3,free
J058,React|Machine Learning|SQL,React:2|Machine Learning:3|SQL:5,basic
J059,Machine Learning|Docker,Machine Learning:5|Docker:5,free
J060,React|Docker|Node.js|Python|JavaScript|SQL,React:3|Docker:3|Node.js:3|Python:2|JavaScript:3|SQL:2,free
J061,React|SQL|Node.js|AWS,React:2|SQL:4|Node.js:2|AWS:3,basic
J062,Machine Learning|AWS|Node.js|JavaScript|SQL|Docker,Machine Learning:3|AWS:3|Node.js:4|JavaScript:3|SQL:4|Docker:5,premium
J063,JavaScript|Machine Learning|Node.js|Docker|AWS|Python,JavaScript:2|Machine Learning:3|Node.js:5|Docker:3|AWS:2|Python:3,basic
J064,Python|AWS|SQL|Docker|Machine Learning|Node.js,Python:5|AWS:3|SQL:2|Docker:5|Machine Learning:5|Node.js:4,free
J065,AWS|JavaScript|Node.js|Docker|React|SQL,AWS:2|JavaScript:5|Node.js:3|Docker:4|React:5|SQL:3,free
J066,AWS|React|JavaScript|Python,AWS:2|React:2|JavaScript:2|Python:5,premium
J067,Docker|Node.js|React,Docker:2|Node.js:3|React:5,premium
J068,SQL|React|Machine Learning|Node.js|AWS|Docker,SQL:4|React:5|Machine Learning:3|Node.js:5|AWS:5|Docker:3,basic
J069,Machine Learning|React|AWS|SQL|Docker|Node.js,Machine Learning:5|React:3|AWS:2|SQL:3|Docker:5|Node.js:3,free
J070,AWS|Machine Learning|React,AWS:2|Machine Learning:3|React:5,premium
J071,JavaScript|AWS,JavaScript:3|AWS:5,premium
J072,JavaScript|Python|React|Machine Learning|Docker,JavaScript:2|Python:2|React:5|Machine Learning:5|Docker:4,premium
J073,Python|AWS|JavaScript|Node.js|SQL|Machine Learning,Python:3|AWS:4|JavaScript:3|Node.js:2|SQL:3|Machine Learning:3,premium
J074,Docker|JavaScript,Docker:2|JavaScript:3,free
J075,AWS|React|Docker|Node.js,AWS:5|React:3|Docker:2|Node.js:2,free
