student_id,parsing_precision,ontology_coverage,proctor_baseline_flag,proctor_model_fail,parsing_pass,ontology_pass,proctor_pass,overall_pass,verdict,trust_score
stu_0012,0.809824653558032,0.5823262511846508,1,1,1,0,0,0,FAIL — ontology,0.45879722719805416
stu_0138,0.8574537462165348,0.9810076639400853,1,0,1,1,1,1,PASS,0.9099193577726533
stu_0097,0.6930012365063246,0.9563502028330367,0,0,0,1,1,0,FAIL — parsing,0.4540029508636485
stu_0142,0.686576556230826,0.7887915936572121,1,1,0,1,0,0,FAIL — parsing,0.5887680038255482
stu_0161,0.8942209926558262,0.5694424379918863,0,0,1,0,1,0,INSUFFICIENT_DATA,0.4860048874145916
stu_0148,0.6080071536806967,0.8219698342111037,1,0,0,1,1,0,FAIL — parsing,0.5429157591653226
stu_0181,0.7121962042597936,0.8461626732974568,1,1,0,1,0,0,FAIL — parsing,0.3183830652903271
stu_0198,0.833570695716634,0.6731335619631929,1,1,1,1,0,0,FAIL — proctoring,0.22516163506982365
stu_0021,0.858276969202056,0.8864522733395142,1,0,1,1,1,1,PASS,0.9036900302833102
stu_0026,0.6078628335084802,0.8876405212821251,1,0,0,1,1,0,FAIL — parsing,0.12880133714778794
stu_0072,0.9138820518466789,0.6907979157146845,1,1,1,1,0,0,FAIL — proctoring,0.24398453572230125
stu_0163,0.7527107286234831,0.6913251248882343,1,0,1,1,1,1,PASS,0.9582552750184531
stu_0042,0.8314216431403727,0.911892189951605,1,1,1,1,0,0,FAIL — proctoring,0.4084486075017262
stu_0091,0.6964899219378031,0.5967955776078411,1,1,0,0,0,0,FAIL — parsing,0.359701976409614
stu_0172,0.8777610581651447,0.936855108750396,1,1,1,1,0,0,FAIL — proctoring,0.5728603466267832
stu_0180,0.9840709319604941,0.7028409430437935,1,0,1,1,1,1,PASS,0.9342016314582153
stu_0156,0.8203833276282386,0.8313729682002651,0,0,1,1,1,1,PASS,0.8373772585132165
stu_0137,0.8774568699758228,0.8030330203337485,1,1,1,1,0,0,FAIL — proctoring,0.11241096897156863
stu_0057,0.6632393056907055,0.8978049601238413,1,1,0,1,0,0,FAIL — parsing,0.3485706675205804
stu_0197,0.7032465362062273,0.8414262143795342,1,0,0,1,1,0,INSUFFICIENT_DATA,0.30204729723004375
stu_0059,0.8960305312236226,0.5122682103256384,1,1,1,0,0,0,FAIL — ontology,0.558252204549245
stu_0081,0.9453110876167721,0.7760833424698116,1,1,1,1,0,0,FAIL — proctoring,0.3904175423580636
stu_0069,0.655853453845816,0.9387265054975471,1,1,0,1,0,0,FAIL — parsing,0.23559456885929367
stu_0055,0.7123093153954922,0.6384983839552059,1,1,0,1,0,0,FAIL — parsing,0.37044900817636717
stu_0102,0.7765991193143401,0.7895007697823995,1,1,1,1,0,0,FAIL — proctoring,0.34797906488062735
stu_0037,0.6577279469633505,0.8742056799884106,0,0,0,1,1,0,FAIL — parsing,0.5048880280233461
stu_0191,0.6665052416631846,0.5022917856806292,1,1,0,0,0,0,FAIL — parsing,0.2047350228713465
stu_0192,0.7449400470546974,0.5390214567683439,1,1,0,0,0,0,FAIL — parsing,0.27261894612695503
stu_0150,0.8235131849797898,0.7827677961789896,0,0,1,1,1,1,PASS,0.7019359925220596
stu_0093,0.6246050735267011,0.9000480995781374,1,0,0,1,1,0,FAIL — parsing,0.58875233688717
stu_0127,0.9324100255020094,0.7685496416759516,1,0,1,1,1,1,PASS,0.7549085605324348
stu_0194,0.6041604674062869,0.9733643185970653,1,1,0,1,0,0,FAIL — parsing,0.20693277329803103
stu_0029,0.885418978439112,0.6726704709280746,1,1,1,1,0,0,FAIL — proctoring,0.5287938701972532
stu_0175,0.7237290364789448,0.6920704836253603,0,0,0,1,1,0,FAIL — parsing,0.24297751755577487
stu_0153,0.8724669491084915,0.9740667956151388,1,0,1,1,1,1,PASS,0.7479213206982328
stu_0099,0.8391841580972441,0.9327551400713996,0,0,1,1,1,1,PASS,0.8301140778295002
stu_0136,0.6129956024605652,0.9897468348334313,1,0,0,1,1,0,FAIL — parsing,0.4263737410691759
stu_0193,0.6940726671419979,0.8186571256837664,1,1,0,1,0,0,FAIL — parsing,0.16394201573344366
stu_0112,0.9501586906794632,0.635223804343753,1,0,1,1,1,1,PASS,0.8389361052926405
stu_0117,0.6367528296506265,0.9734187669363741,1,0,0,1,1,0,FAIL — parsing,0.1873627951790314
stu_0185,0.9960529781466216,0.5090049234170022,1,0,1,0,1,0,FAIL — ontology,0.3329000640179369
stu_0129,0.9909468806387399,0.6840292460835331,0,0,1,1,1,1,PASS,0.736081995559901
stu_0130,0.9414523175835555,0.9488151884855516,1,1,1,1,0,0,FAIL — proctoring,0.12129155414370044
stu_0139,0.9651650189351311,0.5884093247986132,1,0,1,0,1,0,FAIL — ontology,0.1448805815620526
stu_0001,0.9343057564879461,0.5844894668391452,1,1,1,0,0,0,FAIL — ontology,0.13911990168815083
stu_0126,0.9020670475418053,0.8139239733473551,1,0,1,1,1,0,INSUFFICIENT_DATA,0.5210799375434012
stu_0079,0.7746224788811548,0.5697982496817277,1,1,1,0,0,0,FAIL — ontology,0.5514073217607468
stu_0015,0.6032381173154179,0.9961622649698482,0,0,0,1,1,0,FAIL — parsing,0.4177754997395985
stu_0146,0.7083515500389852,0.6045998968401807,1,1,0,1,0,0,FAIL — parsing,0.24119324111984844
stu_0022,0.9756608797786294,0.8850053997082165,1,1,1,1,0,0,FAIL — proctoring,0.30236257059894844
stu_0018,0.7530127960103977,0.5076851278206146,1,1,1,0,0,0,FAIL — ontology,0.19380550602217325
stu_0033,0.8603223394191808,0.759708184388773,1,1,1,1,0,0,FAIL — proctoring,0.2468701008675286
stu_0141,0.9062930352216041,0.7800586046369868,0,0,1,1,1,1,PASS,0.8947283861392883
stu_0068,0.6850144701872587,0.7472484612894728,1,1,0,1,0,0,FAIL — parsing,0.22566540068837246
stu_0183,0.9899998094814856,0.6031385714398854,0,0,1,1,1,1,PASS,0.9365671206040216
stu_0103,0.7157396027361946,0.955537962183831,1,0,0,1,1,0,FAIL — parsing,0.27342811154727287
stu_0113,0.8260512646075546,0.9152486981464301,1,1,1,1,0,0,FAIL — proctoring,0.4305923494216477
stu_0116,0.9604748759591177,0.8353806172829312,1,0,1,1,1,1,PASS,0.7363181243098484
stu_0064,0.8178176247082437,0.6560723404034585,1,0,1,1,1,1,PASS,0.9291784604083638
stu_0017,0.9024543955491409,0.7269958301401276,1,0,1,1,1,1,PASS,0.7835490468915061
stu_0006,0.8689288389834686,0.7414103877572915,0,0,1,1,1,1,PASS,0.742621618280052
stu_0182,0.983446755688988,0.5324571110396565,1,1,1,0,0,0,FAIL — ontology,0.3807592061701547
stu_0019,0.7293852269002027,0.5947195264362217,1,1,0,0,0,0,FAIL — parsing,0.13737570523978768
stu_0061,0.9372267965710082,0.6407800448997808,1,1,1,1,0,0,FAIL — proctoring,0.31094466729322556
stu_0034,0.8018132827767999,0.8860708714191949,0,0,1,1,1,1,PASS,0.7843988476473681
stu_0105,0.8899342062572584,0.726481561780014,1,1,1,1,0,0,FAIL — proctoring,0.14005896469745585
stu_0025,0.8930696743475592,0.756691086970439,0,0,1,1,1,1,PASS,0.8817604566159044
stu_0169,0.8762391149827922,0.990562800478773,1,0,1,1,1,1,PASS,0.9619255419500248
stu_0106,0.9293287740296776,0.5864134259710538,1,1,1,0,0,0,FAIL — ontology,0.5829187459140333
stu_0187,0.6789031843079165,0.6107306133455186,0,0,0,1,1,0,FAIL — parsing,0.3311535395413361
stu_0173,0.670406501906289,0.8856630306067328,1,1,0,1,0,0,FAIL — parsing,0.1626200398615598
stu_0016,0.6431877487083822,0.5399874016654569,0,0,0,0,1,0,FAIL — parsing,0.5893362527321759
stu_0028,0.8273181271220824,0.598786718899849,1,1,1,0,0,0,FAIL — ontology,0.5807167675221663
stu_0050,0.6956303700369155,0.7261093050796186,1,0,0,1,1,0,INSUFFICIENT_DATA,0.13253312245262786
stu_0047,0.6676383773027975,0.5822244180065836,0,0,0,0,1,0,FAIL — parsing,0.18752306166007895
stu_0119,0.8298145941582135,0.8655658993998476,1,0,1,1,1,1,PASS,0.9102562568563571
stu_0020,0.8080955567285394,0.9695942462698861,1,0,1,1,1,1,PASS,0.926009196854934
stu_0013,0.6531814899493721,0.833478089399253,0,0,0,1,1,0,FAIL — parsing,0.41387001193945094
stu_0004,0.8515450747642435,0.8097505071958302,1,1,1,1,0,0,FAIL — proctoring,0.33763832382332726
stu_0043,0.6770552049106384,0.7122889655694542,1,0,0,1,1,0,FAIL — parsing,0.42295943188253204
stu_0125,0.9825326706436949,0.9351268135926694,1,0,1,1,1,0,INSUFFICIENT_DATA,0.11856714009114397
stu_0100,0.9675127535418485,0.5012851893418926,1,0,1,0,1,0,FAIL — ontology,0.14795405165665157
stu_0109,0.7565274773242863,0.8139752119913779,1,1,1,1,0,0,INSUFFICIENT_DATA,0.5530279076542345
stu_0170,0.7489013472508476,0.5272491329857836,1,1,0,0,0,0,FAIL — parsing,0.2164637579277848
stu_0076,0.6538057132203704,0.8604409846432248,1,1,0,1,0,0,FAIL — parsing,0.14652379330658274
stu_0041,0.7233240750360455,0.8206074141901021,0,0,0,1,1,0,FAIL — parsing,0.21964352204910984
stu_0131,0.9510126613537234,0.8199958592308212,1,0,1,1,1,1,PASS,0.7941433864021238
stu_0048,0.8290613906206016,0.796792975888936,0,0,1,1,1,0,INSUFFICIENT_DATA,0.17656377126071934
stu_0104,0.8996780247381007,0.8941073507335885,1,1,1,1,0,0,FAIL — proctoring,0.5210501873611663
stu_0149,0.6122582764379569,0.74848870884734,1,1,0,1,0,0,FAIL — parsing,0.33874345590528043
stu_0159,0.9109757823890825,0.9907352692443236,1,1,1,1,0,0,FAIL — proctoring,0.4268041459627868
stu_0053,0.6050788762415882,0.8758059008476411,1,1,0,1,0,0,FAIL — parsing,0.1158945707550281
stu_0062,0.9218594833169209,0.8592011140315761,1,1,1,1,0,0,FAIL — proctoring,0.36612804900431495
stu_0118,0.7563160143827372,0.7437213349363723,1,1,1,1,0,0,FAIL — proctoring,0.4318989194336652
stu_0003,0.8244715068151127,0.865368695196375,1,1,1,1,0,0,FAIL — proctoring,0.590589501742579
stu_0160,0.9138105397323124,0.7971972282254944,1,1,1,1,0,0,FAIL — proctoring,0.23748117030595486
stu_0090,0.955638409637334,0.8673427281792483,1,1,1,1,0,0,FAIL — proctoring,0.2984089351326964
stu_0073,0.8717282011997828,0.6950012965047777,1,1,1,1,0,0,FAIL — proctoring,0.1006387289364696
stu_0157,0.9253816109456523,0.9368141064016351,1,1,1,1,0,0,FAIL — proctoring,0.20322460677404178
stu_0077,0.824562298075176,0.7872138894889246,1,1,1,1,0,0,FAIL — proctoring,0.5176916088843628
stu_0035,0.7248586577991225,0.8770382996851072,1,1,0,1,0,0,FAIL — parsing,0.1941696454798186
stu_0030,0.9495344682113073,0.941376727412981,1,1,1,1,0,0,FAIL — proctoring,0.22866632194170647
stu_0065,0.8204368882104875,0.5202986339254022,1,1,1,0,0,0,FAIL — ontology,0.5771793916933631
stu_0071,0.9338527167810021,0.5890937634623563,1,1,1,0,0,0,FAIL — ontology,0.5350132677007166
stu_0177,0.9280284026821982,0.7689441137739114,1,1,1,1,0,0,FAIL — proctoring,0.392406244101716
stu_0140,0.7661169171048405,0.5603739395843321,1,1,1,0,0,0,FAIL — ontology,0.5471303432608746
stu_0095,0.9722840941783252,0.6267812417328331,1,1,1,1,0,0,FAIL — proctoring,0.4660537742373838
stu_0038,0.6424000514587548,0.6429628421709995,1,1,0,1,0,0,FAIL — parsing,0.19837260757798522
stu_0011,0.6407231802766673,0.825974956313441,1,1,0,1,0,0,FAIL — parsing,0.1903640659886515
stu_0054,0.8786884557886767,0.579579826628287,1,1,1,0,0,0,FAIL — ontology,0.5774350584536407
stu_0171,0.7937792132404922,0.820793342346773,1,1,1,1,0,0,FAIL — proctoring,0.16081675054080405
stu_0046,0.967393339878048,0.5670086084460714,1,1,1,0,0,0,FAIL — ontology,0.4647470125501004
stu_0189,0.6827432858790434,0.6800691309943946,1,1,0,1,0,0,FAIL — parsing,0.3174545823667474
stu_0121,0.7485701208200304,0.6509349927083515,1,0,0,1,1,0,FAIL — parsing,0.13435215008781456
stu_0052,0.6107734250255606,0.7841098589413203,1,0,0,1,1,0,FAIL — parsing,0.3062022911501808
stu_0085,0.9030641616481906,0.9230221816890656,1,0,1,1,1,1,PASS,0.8951956919124682
stu_0010,0.6303043104466851,0.8381880601975418,1,0,0,1,1,0,FAIL — parsing,0.19965634868051382
stu_0089,0.9104784095915889,0.5144598266061264,1,1,1,0,0,0,FAIL — ontology,0.2858135796595431
stu_0066,0.8648943018387161,0.8716421160894148,1,0,1,1,1,1,PASS,0.909486550991573
stu_0094,0.8819086598642769,0.8226482998857719,1,0,1,1,1,1,PASS,0.869436693802045
stu_0084,0.9250054779977083,0.5936027355713853,1,0,1,0,1,0,FAIL — ontology,0.5309635547391249
stu_0158,0.9637337853290416,0.8256792079098954,1,0,1,1,1,1,PASS,0.746197795481365
stu_0074,0.7409851485763825,0.9239268053399317,1,0,0,1,1,0,FAIL — parsing,0.23177677244262893
stu_0111,0.9655106536221327,0.9107684541279906,1,1,1,1,0,0,FAIL — proctoring,0.24570905062246215
stu_0120,0.8406491760273181,0.782494592238608,1,0,1,1,1,1,PASS,0.7680142951050829
stu_0114,0.9193419299880968,0.882501291337997,1,0,1,1,1,1,PASS,0.7756263711864769
stu_0058,0.8040531595068812,0.663984983427342,1,0,1,1,1,1,PASS,0.7406290287419371
stu_0122,0.8577241265712365,0.7203350423905799,1,0,1,1,1,1,PASS,0.8679649685199446
stu_0162,0.7847000667267009,0.6606079770057375,1,0,1,1,1,1,PASS,0.7445988264940673
stu_0168,0.9172811996611693,0.9875028017150739,1,0,1,1,1,1,PASS,0.79063651380775
stu_0200,0.9615370567290614,0.5688820904916105,1,0,1,0,1,0,FAIL — ontology,0.49060035402642943
stu_0143,0.8619356071991315,0.7143834751870335,1,0,1,1,1,1,PASS,0.7841096338789334
stu_0032,0.6863398830115297,0.8165732208331844,1,0,0,1,1,0,FAIL — parsing,0.2780809417788963
stu_0110,0.744156596421533,0.7121930670859886,1,0,0,1,1,0,FAIL — parsing,0.13725458955063077
stu_0086,0.8382394702498182,0.9882981007377423,1,1,1,1,0,0,INSUFFICIENT_DATA,0.45170638056541723
stu_0178,0.7266323255284894,0.8717036371609173,1,0,0,1,1,0,FAIL — parsing,0.5532037412308277
stu_0107,0.6170837397442644,0.9532596626709295,1,0,0,1,1,0,FAIL — parsing,0.5405333344926738
stu_0123,0.8205204621931553,0.6718353797710953,1,0,1,1,1,1,PASS,0.9803061750216367
stu_0070,0.8220506226668689,0.5591484453922209,0,0,1,0,1,0,FAIL — ontology,0.39396666856484897
stu_0186,0.8218276724929,0.8469833922967835,0,0,1,1,1,1,PASS,0.7579986627004589
stu_0152,0.619602520771018,0.5581568127829901,1,0,0,0,1,0,FAIL — parsing,0.5486621695421703
stu_0067,0.9425731113629692,0.6022727955211817,0,0,1,1,1,1,PASS,0.7668797314097067
stu_0195,0.7878956700221561,0.6546348517234082,1,0,1,1,1,1,PASS,0.7601839261257213
stu_0145,0.7985555739341186,0.6229115145830193,1,0,1,1,1,1,PASS,0.8484565847232942
stu_0080,0.8714715762614909,0.52249505467949,1,1,1,0,0,0,FAIL — ontology,0.32405699837559243
stu_0083,0.6235944810930153,0.6430657596630325,1,0,0,1,1,0,FAIL — parsing,0.2838726185067686
stu_0087,0.7529452781214967,0.8018109796879838,1,1,1,1,0,0,FAIL — proctoring,0.24379651302382851
stu_0031,0.7759184042341645,0.7913985770245959,1,0,1,1,1,1,PASS,0.7858078030348542
stu_0190,0.6626024598178152,0.5284014739047574,1,0,0,0,1,0,FAIL — parsing,0.4341767305585936
