Candidate ID,Skills,Experience Years,Education,Certifications,Projects
C_35,"Docker,Python,Machine Learning,Azure,Java,Communication,Agile,SQL,Scrum,GCP",13,Bachelor,"Scrum Master,Data Science Professional",4
C_36,"React,Communication,C++",8,High School,"AWS Solutions Architect,Data Science Professional,Google Cloud Engineer",2
C_37,"Pandas,Scrum,Docker,Leadership,Git,Machine Learning,GCP,Tableau",9,Master,"Scrum Master,PMP",4
C_38,"C++,Node.js,Scrum,React",5,Master,"Scrum Master,Data Science Professional",0
C_39,"GCP,C++,Node.js,Communication,Leadership,Docker",14,Bachelor,Data Science Professional,3
C_40,"Scrum,Pandas,GCP,Tableau",10,High School,Machine Learning Specialization,2
C_41,"C++,Deep Learning,Python,SQL,AWS",15,Master,,3
C_42,"Agile,Communication,C++,React,Power BI,CI/CD,AWS,Deep Learning",0,Master,,3
C_43,"Java,Git,Tableau,TypeScript,SQL",7,PhD,,3
C_44,"TypeScript,Scrum,Tableau,Excel",10,PhD,"Data Science Professional,Machine Learning Specialization,Scrum Master",4
C_45,"Java,Power BI,TypeScript,Azure,AWS,Agile,Tableau,Git,Leadership",8,Bachelor,"Google Cloud Engineer,PMP",2
C_46,"Excel,Pandas,Deep Learning,Scrum,AWS,React,Agile",6,High School,"PMP,Data Science Professional,Scrum Master",3
C_47,"C++,Node.js",12,PhD,,4
C_48,"Power BI,Python,Kubernetes,GCP,React,Node.js,Excel,AWS",15,Bachelor,"Scrum Master,AWS Solutions Architect,Machine Learning Specialization",2
C_49,"CI/CD,Java,TypeScript,Deep Learning,Leadership,Excel,Python,React",0,High School,"Google Cloud Engineer,Scrum Master,Machine Learning Specialization",0
C_50,"React,Docker,C++,TypeScript,Git,Leadership",12,Bachelor,"PMP,AWS Solutions Architect,Scrum Master",0
C_51,"SQL,Kubernetes,AWS,Agile,Pandas,CI/CD,Python,Scrum,C++,Node.js",0,Master,Google Cloud Engineer,3
C_52,"Communication,C++,TypeScript",8,Master,Data Science Professional,4
C_53,"Java,GCP,Machine Learning",0,PhD,"Scrum Master,Google Cloud Engineer,AWS Solutions Architect",4
C_54,"Machine Learning,Git,GCP,Scrum,Leadership",3,Master,,2
C_55,"Node.js,Scrum,Kubernetes,Pandas,Tableau,Docker,Python,CI/CD,Power BI,SQL",13,PhD,"Machine Learning Specialization,Google Cloud Engineer,Scrum Master",1
C_56,"Agile,Azure,Leadership,Excel,Power BI,TypeScript,Node.js,Git,Docker,CI/CD",7,Master,,2
C_57,"AWS,TypeScript,Communication,Leadership,React,Docker,Python,Power BI,Scrum",5,Bachelor,"PMP,Machine Learning Specialization",2
C_58,"Excel,Python,Tableau,C++,Pandas,AWS",13,Bachelor,Machine Learning Specialization,3
C_59,"TypeScript,Python,Pandas,GCP,AWS,React,Leadership,Agile,Kubernetes",15,Bachelor,"Scrum Master,Data Science Professional",2
C_60,"Git,TypeScript,Azure,GCP,Scrum,AWS,Machine Learning",6,Bachelor,Google Cloud Engineer,1
C_61,"Azure,Communication,Tableau,Leadership,GCP,Machine Learning,C++,Agile,AWS",11,Bachelor,,5
C_62,"Deep Learning,Azure,SQL,Scrum,Excel,GCP,CI/CD,Power BI,Machine Learning,Node.js",0,Bachelor,"Scrum Master,Machine Learning Specialization,PMP",1
C_63,"Azure,Power BI",3,Master,"Scrum Master,AWS Solutions Architect,Data Science Professional",1
C_64,"Communication,GCP,Pandas,AWS",3,Bachelor,"Data Science Professional,Machine Learning Specialization,Google Cloud Engineer",4
C_65,"TypeScript,CI/CD,GCP,Communication,Node.js,Scrum,SQL,Machine Learning",6,Master,"Machine Learning Specialization,AWS Solutions Architect",1
C_66,"Java,Excel,Pandas,Python,Node.js",14,Master,"PMP,AWS Solutions Architect,Google Cloud Engineer",2
C_67,"Git,TypeScript,Pandas,AWS,Azure,Communication",6,Bachelor,Machine Learning Specialization,1
C_68,"Deep Learning,Pandas,SQL,Java,GCP,Communication",9,Bachelor,"Machine Learning Specialization,PMP,Scrum Master",2
C_69,"Excel,Power BI,TypeScript,Pandas,Leadership,SQL,Node.js,Docker,Azure,Python",2,Bachelor,,5
C_70,"Communication,SQL,Java,Power BI,Tableau,TypeScript",8,Bachelor,"Machine Learning Specialization,Scrum Master,AWS Solutions Architect",3
C_71,"Node.js,Docker,Git,Machine Learning,Java,Scrum,CI/CD",15,Bachelor,"Data Science Professional,AWS Solutions Architect,Scrum Master",0
C_72,"Azure,Docker,Machine Learning,React,Tableau,Python,Excel",14,Bachelor,Data Science Professional,2
C_73,"Agile,TypeScript,SQL,C++,Azure,Excel,Deep Learning,GCP,Git",15,Bachelor,Machine Learning Specialization,1
C_74,"Excel,Python,CI/CD,Node.js,Pandas,AWS",3,Bachelor,,5
C_75,"Power BI,Git,GCP,Tableau",8,Bachelor,"Scrum Master,Google Cloud Engineer,Machine Learning Specialization",4
C_76,"React,C++,Leadership,Tableau",4,Master,"Scrum Master,PMP",4
C_77,"Python,GCP,Git,Communication,Agile,Power BI",4,Bachelor,"PMP,Machine Learning Specialization,Scrum Master",3
C_78,"C++,Git,AWS,Communication,React,Scrum,Node.js",1,Bachelor,"Machine Learning Specialization,Scrum Master,Data Science Professional",5
C_79,"Power BI,SQL,Deep Learning,Tableau",10,Master,"AWS Solutions Architect,Data Science Professional,Scrum Master",0
C_80,"Node.js,Agile,Deep Learning,Pandas",15,Master,"PMP,Data Science Professional",5
C_81,"Agile,Pandas,Docker,Excel,React,Scrum,Power BI,SQL",2,Bachelor,"Google Cloud Engineer,AWS Solutions Architect",3
C_82,"Agile,Git,Machine Learning",14,Bachelor,"AWS Solutions Architect,Machine Learning Specialization",2
C_83,"GCP,Kubernetes",11,Bachelor,Data Science Professional,3
C_84,"Java,Pandas,Leadership,React",7,Bachelor,Google Cloud Engineer,3
C_85,"TypeScript,Azure,Scrum,Python,CI/CD,GCP",5,High School,"Data Science Professional,PMP",5
C_86,"Git,Azure,TypeScript,GCP,C++,React,Power BI,Machine Learning",7,Bachelor,"Data Science Professional,PMP",5
C_87,"Python,Scrum,React,Azure,CI/CD,Communication",1,PhD,"PMP,Google Cloud Engineer,Machine Learning Specialization",1
C_88,"Leadership,Azure,Scrum,CI/CD,Deep Learning",3,PhD,,2
C_89,"SQL,Communication,Kubernetes,Deep Learning,Pandas,GCP,Docker,Node.js,Java",6,Bachelor,"Data Science Professional,Machine Learning Specialization",2
C_90,"Azure,Power BI,GCP,CI/CD",10,Master,"AWS Solutions Architect,Google Cloud Engineer,Data Science Professional",5
C_91,"Excel,Kubernetes,Pandas,React,Python,Azure,CI/CD,Machine Learning",14,Bachelor,"Data Science Professional,Scrum Master",5
C_92,"Machine Learning,Scrum,AWS,Power BI,Python,Excel,Docker",7,Master,"Machine Learning Specialization,PMP,Scrum Master",0
C_93,"SQL,GCP,Power BI,Machine Learning",3,Bachelor,Scrum Master,3
C_94,"Scrum,Git,Excel,Node.js,Communication,Deep Learning,Agile",3,Master,"PMP,AWS Solutions Architect,Machine Learning Specialization",1
C_95,"TypeScript,AWS,Kubernetes,Machine Learning,Scrum,Excel,Leadership,SQL,React",8,Bachelor,,3
C_96,"Scrum,C++,Agile",0,High School,"Google Cloud Engineer,Machine Learning Specialization",4
C_97,"Pandas,Excel,C++,Communication,AWS",10,Master,,2
C_98,"Deep Learning,Excel,Azure,Java",3,Master,,1
C_99,"Kubernetes,AWS",10,High School,"AWS Solutions Architect,Google Cloud Engineer",5
C_100,"Tableau,Machine Learning,Pandas,Power BI,TypeScript,Kubernetes,CI/CD,Git",14,Bachelor,,5
C_101,"GCP,TypeScript,Agile,Python,SQL,Power BI,React,Node.js,Machine Learning,AWS",14,High School,,2
C_102,"Pandas,Deep Learning,Azure,Leadership",10,Bachelor,"Scrum Master,Data Science Professional",4
C_103,"Machine Learning,Git,CI/CD,Agile,Excel,C++,Node.js,TypeScript",7,Bachelor,"Scrum Master,Machine Learning Specialization,AWS Solutions Architect",2
C_104,"Docker,Scrum,Azure,Kubernetes,Deep Learning,Power BI,Pandas,Excel",2,High School,,5
C_105,"Deep Learning,Excel,SQL,Communication,Git,Leadership,Docker",3,Bachelor,"Machine Learning Specialization,AWS Solutions Architect,PMP",4
C_106,"Kubernetes,Machine Learning,Communication,Tableau,C++,Deep Learning",15,Bachelor,,2
C_107,"Kubernetes,Machine Learning,Azure,Communication,AWS,Node.js,Excel,Python,Scrum,Tableau",5,Bachelor,"PMP,Machine Learning Specialization",0
C_108,"Deep Learning,Communication,Scrum,React",2,Bachelor,,0
C_109,"C++,React,Node.js,TypeScript,Docker,Java,Kubernetes,GCP,Leadership,Git",2,Master,Google Cloud Engineer,4
C_110,"Scrum,Pandas",8,Bachelor,"Scrum Master,Data Science Professional,Machine Learning Specialization",3
C_111,"C++,Tableau,Machine Learning,Kubernetes,Node.js,Scrum",9,Master,"Data Science Professional,PMP,AWS Solutions Architect",1
C_112,"Leadership,SQL,Python,C++,GCP,Agile,Deep Learning,Azure",9,Bachelor,,3
C_113,"Java,Deep Learning,React,Excel,AWS,Tableau,Agile,Kubernetes",2,Bachelor,,3
C_114,"TypeScript,Pandas",10,Bachelor,"Machine Learning Specialization,Scrum Master,PMP",0
C_115,"Python,Docker,Java,Leadership,TypeScript,Kubernetes,Pandas,Node.js",3,Bachelor,"Data Science Professional,AWS Solutions Architect,Scrum Master",2
C_116,"AWS,Docker,Java,Pandas,Tableau,Machine Learning,Leadership",6,PhD,"PMP,Google Cloud Engineer",1
C_117,"Deep Learning,Azure,C++",5,Master,,1
C_118,"TypeScript,Communication,Git,CI/CD,Scrum,Docker,Leadership,Deep Learning,Agile",2,Bachelor,"PMP,Data Science Professional",0
C_119,"Tableau,Pandas,GCP,TypeScript,Agile,SQL,Communication",11,Master,,5
C_120,"Leadership,Tableau,React",14,Bachelor,,3
C_121,"Docker,Leadership,Power BI,Tableau,Deep Learning",1,Bachelor,"Machine Learning Specialization,AWS Solutions Architect",4
C_122,"SQL,AWS,Git,TypeScript",14,Bachelor,PMP,2
C_123,"React,Node.js,Docker,Leadership,SQL,Scrum",2,Bachelor,"PMP,Machine Learning Specialization,Google Cloud Engineer",2
C_124,"Communication,Scrum,Deep Learning",11,Bachelor,"Google Cloud Engineer,Data Science Professional,AWS Solutions Architect",2
C_125,"React,Agile,Docker,Deep Learning,Tableau,Pandas,Node.js,Leadership,Kubernetes,Python",11,Bachelor,PMP,3
C_126,"AWS,Deep Learning,Pandas,GCP,Machine Learning",1,Master,Data Science Professional,3
C_127,"Java,Git,Leadership,CI/CD",14,High School,"Machine Learning Specialization,Google Cloud Engineer",3
C_128,"CI/CD,TypeScript,AWS,Excel,Scrum,GCP",15,PhD,PMP,5
C_129,"TypeScript,GCP,React,Tableau,Agile,Node.js,Java,C++,Deep Learning",8,High School,"PMP,Data Science Professional,AWS Solutions Architect",5
C_130,"Machine Learning,GCP,Pandas,Java,Azure,TypeScript,Tableau,Deep Learning,Node.js,SQL",7,Master,"AWS Solutions Architect,Scrum Master",0
C_131,"Tableau,Kubernetes,AWS,React,Pandas,Git,Scrum,Python",10,PhD,"Google Cloud Engineer,Machine Learning Specialization",0
C_132,"Power BI,Git,Deep Learning,CI/CD,TypeScript,Python",2,High School,Google Cloud Engineer,4
C_133,"Node.js,Machine Learning,GCP,AWS,Scrum,Git,SQL,Agile,CI/CD,Docker",14,High School,"Data Science Professional,Machine Learning Specialization,AWS Solutions Architect",5
C_134,"Communication,AWS,Deep Learning,GCP,Node.js,Python,Kubernetes,Git,Leadership,Pandas",2,Bachelor,"AWS Solutions Architect,Data Science Professional",4
C_135,"Tableau,Excel,Python,React,Power BI,SQL,Agile,Kubernetes,Azure,CI/CD",0,Bachelor,,2
C_136,"CI/CD,Scrum,Agile,Machine Learning,Communication",10,Bachelor,"Data Science Professional,PMP",5
C_137,"Scrum,TypeScript,Git,Power BI",5,Master,,5
C_138,"SQL,GCP,C++,CI/CD,Scrum,Agile,Docker,Git,React",15,Bachelor,PMP,2
C_139,"Agile,Docker",8,Bachelor,"Scrum Master,Machine Learning Specialization",5
C_140,"React,Docker,Java,Power BI,Agile,Kubernetes,Tableau,Azure,Pandas",13,High School,Data Science Professional,2
C_141,"Machine Learning,Pandas,Docker,GCP,Agile,TypeScript,Node.js",5,Master,"Scrum Master,AWS Solutions Architect",5
C_142,"Leadership,Node.js,Azure,Agile,SQL,Pandas,React",11,Bachelor,AWS Solutions Architect,1
C_143,"SQL,Deep Learning,Pandas,AWS,Kubernetes,Leadership,React,CI/CD,Git",14,PhD,"Scrum Master,AWS Solutions Architect",4
C_144,"Tableau,Kubernetes,React,Docker",8,Bachelor,,0
C_145,"Power BI,Tableau,React,Excel",3,Bachelor,"Machine Learning Specialization,Scrum Master",1
C_146,"Git,Power BI,C++,Machine Learning,Deep Learning,Pandas",14,Bachelor,"AWS Solutions Architect,PMP,Data Science Professional",5
C_147,"Excel,GCP,Java",5,Master,AWS Solutions Architect,1
C_148,"AWS,Power BI,Python,Kubernetes",11,Bachelor,Data Science Professional,0
C_149,"GCP,React,Git",15,Bachelor,"Data Science Professional,AWS Solutions Architect,Google Cloud Engineer",2
C_150,"TypeScript,Scrum,Tableau",11,Bachelor,Google Cloud Engineer,3
C_151,"SQL,Machine Learning,Tableau,Deep Learning,GCP,Java,Communication,Docker,AWS,Excel",9,Master,"Google Cloud Engineer,Data Science Professional",2
C_152,"Agile,GCP,Leadership,Excel",2,Bachelor,Data Science Professional,4
C_153,"Java,Scrum,Leadership,CI/CD",10,Master,,0
C_154,"SQL,Agile,Communication",8,Master,"Data Science Professional,AWS Solutions Architect,Scrum Master",5
C_155,"GCP,Agile,CI/CD,Power BI,AWS,React,Scrum,TypeScript,Pandas,Kubernetes",1,Bachelor,"Scrum Master,Machine Learning Specialization,Google Cloud Engineer",2
C_156,"Docker,Git,CI/CD,Kubernetes",12,Bachelor,"Data Science Professional,Machine Learning Specialization",0
C_157,"AWS,TypeScript,Machine Learning,Azure,Git,CI/CD,Deep Learning",3,High School,"Data Science Professional,Scrum Master,Google Cloud Engineer",1
C_158,"Communication,Docker,C++,Java,Power BI,Tableau,TypeScript",15,Master,"AWS Solutions Architect,Machine Learning Specialization,Scrum Master",4
C_159,"AWS,C++,Communication,Kubernetes,SQL,Leadership,GCP,Power BI,Tableau",9,Bachelor,,3
C_160,"Azure,CI/CD,Kubernetes,React",11,High School,,4
C_161,"C++,Kubernetes,Excel,GCP,Pandas,React,Tableau,TypeScript,Azure,Node.js",3,Bachelor,,3
C_162,"Docker,Excel,Kubernetes,Deep Learning,C++,Tableau,React",1,High School,Machine Learning Specialization,2
C_163,"Tableau,TypeScript,Deep Learning,Leadership,CI/CD,Scrum,Docker,Excel,Java",12,PhD,"Data Science Professional,PMP",4
C_164,"Excel,Power BI,Communication,GCP,Git,Python,Kubernetes,Docker,Machine Learning,C++",9,Master,,4
C_165,"Azure,Agile,Communication,Scrum,AWS,SQL,Power BI,Java,React",4,Master,AWS Solutions Architect,4
C_166,"C++,Python,TypeScript",10,Bachelor,"Machine Learning Specialization,Google Cloud Engineer,Scrum Master",4
C_167,"CI/CD,SQL,Deep Learning,Tableau,C++,Excel,Docker,Power BI,React",10,PhD,"Data Science Professional,PMP,Machine Learning Specialization",5
C_168,"Leadership,Power BI,C++,AWS,Azure,Excel",9,Bachelor,"PMP,Google Cloud Engineer",5
C_169,"Docker,Power BI,Kubernetes,Excel,Azure,GCP,Machine Learning,React,Tableau",11,PhD,PMP,0
C_170,"Git,Pandas,Kubernetes,TypeScript,Azure,Power BI",6,Bachelor,"Data Science Professional,PMP",1
C_171,"Leadership,CI/CD,Communication",7,Bachelor,Machine Learning Specialization,1
C_172,"Machine Learning,Node.js",10,Master,,5
C_173,"Python,Excel,Java,Node.js",15,Bachelor,PMP,2
C_174,"Agile,SQL,Pandas,CI/CD,Communication,AWS",1,PhD,Scrum Master,1
C_175,"React,Power BI",5,PhD,"AWS Solutions Architect,Machine Learning Specialization",2
C_176,"Docker,GCP,TypeScript",15,Master,Data Science Professional,3
C_177,"C++,Machine Learning,Docker,Java,TypeScript,Azure",5,High School,"PMP,Data Science Professional",5
C_178,"Java,Leadership,Agile,React,Node.js",10,High School,,1
C_179,"Power BI,Docker,AWS,Python",8,Bachelor,"PMP,Machine Learning Specialization,Data Science Professional",4
C_180,"Azure,Agile",11,Master,,5
C_181,"TypeScript,GCP,Java",12,Master,"Machine Learning Specialization,AWS Solutions Architect",5
C_182,"Kubernetes,Leadership,AWS,Scrum,Deep Learning,Power BI",4,Bachelor,"Scrum Master,Data Science Professional",3
C_183,"Scrum,C++,AWS,Leadership,Pandas,Tableau,TypeScript,Communication,Kubernetes,SQL",3,High School,Data Science Professional,4
C_184,"Java,Docker,Tableau,TypeScript",3,Master,"AWS Solutions Architect,Data Science Professional,Scrum Master",0
C_185,"Deep Learning,Tableau,Node.js,TypeScript,Communication,SQL,Excel,Agile,GCP",0,Bachelor,,5
C_186,"Communication,Pandas,SQL,Node.js,Kubernetes",2,Bachelor,,0
C_187,"SQL,GCP,Node.js,Java,Deep Learning,Scrum,Kubernetes,React,TypeScript",12,Bachelor,Machine Learning Specialization,2
C_188,"Java,Excel,React",4,Master,AWS Solutions Architect,0
C_189,"TypeScript,Scrum,Excel,Node.js,Git,React",7,Bachelor,"Google Cloud Engineer,PMP",1
C_190,"SQL,Scrum,Node.js",0,Bachelor,,0
C_191,"TypeScript,Leadership",1,Bachelor,,3
C_192,"AWS,Excel,C++,SQL,Deep Learning,Tableau,GCP,CI/CD,Docker",10,Bachelor,Machine Learning Specialization,4
C_193,"Node.js,GCP,Azure,SQL,Excel",5,Master,"Data Science Professional,Scrum Master,AWS Solutions Architect",2
C_194,"Tableau,Docker,Node.js,Scrum,Deep Learning,GCP,React,Java",15,Bachelor,PMP,5
C_195,"TypeScript,SQL,Excel,Node.js",13,Bachelor,Scrum Master,1
C_196,"C++,Docker,Agile,Pandas,TypeScript,Kubernetes",2,Bachelor,AWS Solutions Architect,2
C_197,"Scrum,Leadership,Git,SQL,Pandas,C++,Excel,Communication",15,Bachelor,"PMP,AWS Solutions Architect",1
C_198,"CI/CD,Machine Learning,Power BI,AWS,Git",6,Bachelor,Data Science Professional,2
C_199,"React,TypeScript,Excel,Agile,Kubernetes,GCP",8,Bachelor,"Scrum Master,AWS Solutions Architect,Machine Learning Specialization",2
C_200,"Kubernetes,Docker,Node.js,SQL,Communication",7,Master,,2
C_201,"Communication,CI/CD,Node.js,GCP,Deep Learning,C++,Docker,AWS,React,Agile",7,Bachelor,"PMP,Scrum Master",5
C_202,"TypeScript,Java,Kubernetes,Git,Deep Learning,Excel,Power BI,Agile,SQL",1,Master,,5
C_203,"Python,Node.js",4,Master,AWS Solutions Architect,5
C_204,"Python,C++,Tableau,TypeScript",11,High School,"Machine Learning Specialization,Scrum Master,AWS Solutions Architect",0
C_205,"Excel,Node.js,Python,Scrum,Tableau,Azure,CI/CD,GCP,Agile,Communication",13,Master,AWS Solutions Architect,0
C_206,"Deep Learning,AWS,C++,Leadership,Tableau,Azure,Kubernetes,Communication,React,SQL",11,PhD,"Data Science Professional,Google Cloud Engineer,Machine Learning Specialization",2
C_207,"Agile,SQL,Pandas",12,Bachelor,"AWS Solutions Architect,Machine Learning Specialization,Google Cloud Engineer",0
C_208,"Node.js,Agile,Docker,Communication,Machine Learning,Tableau,SQL,AWS,C++",15,Bachelor,,5
C_209,"Excel,Communication,Scrum,SQL,Java,Docker",0,PhD,Machine Learning Specialization,3
C_210,"GCP,Java,Communication",7,Bachelor,"Machine Learning Specialization,Data Science Professional,PMP",3
C_211,"Git,CI/CD,Pandas,Tableau",11,High School,"Google Cloud Engineer,AWS Solutions Architect,PMP",4
C_212,"Docker,Python,Agile,Azure,TypeScript,Power BI,AWS,Kubernetes",12,Bachelor,"AWS Solutions Architect,Data Science Professional,PMP",1
C_213,"Pandas,Azure,Deep Learning",12,Master,Machine Learning Specialization,3
C_214,"Kubernetes,Machine Learning,Pandas,Python,GCP,TypeScript,CI/CD",8,Bachelor,,1
C_215,"TypeScript,Excel,Git,Tableau,Node.js,Machine Learning,Python,Pandas",11,Bachelor,"Scrum Master,AWS Solutions Architect",2
C_216,"React,Pandas,Excel,AWS,Communication,Tableau,Java,CI/CD",5,Bachelor,"PMP,Scrum Master",1
C_217,"Java,Node.js,Azure",13,Bachelor,,2
C_218,"AWS,Agile,Power BI,Leadership,Git,C++",14,Bachelor,"AWS Solutions Architect,Scrum Master",2
C_219,"Docker,TypeScript,CI/CD,Node.js,Leadership,Deep Learning,GCP,Scrum",6,Bachelor,Scrum Master,2
C_220,"CI/CD,Git,Agile,Power BI,Communication,AWS",10,Bachelor,"PMP,AWS Solutions Architect,Google Cloud Engineer",4
C_221,"Java,Scrum,Excel,Python,TypeScript,C++,Leadership,GCP,Pandas,Node.js",13,Master,Machine Learning Specialization,2
C_222,"Azure,Scrum,Deep Learning,Git,Node.js",12,High School,"Data Science Professional,Scrum Master,Machine Learning Specialization",4
C_223,"Kubernetes,Git",2,Bachelor,Machine Learning Specialization,5
C_224,"Java,Agile,Leadership,SQL,Communication,React,Docker",13,Bachelor,,2
C_225,"Tableau,CI/CD,Excel,Communication,Git",7,Bachelor,"Scrum Master,Data Science Professional,Google Cloud Engineer",2
C_226,"Power BI,Machine Learning",9,Bachelor,,0
C_227,"Kubernetes,GCP,Docker,TypeScript",6,Bachelor,"Scrum Master,AWS Solutions Architect",3
C_228,"Docker,Pandas,GCP,SQL,Machine Learning,Python,CI/CD,Leadership,Java",7,Bachelor,PMP,4
C_229,"TypeScript,AWS,React,Agile,Java,Leadership,Node.js,Scrum",0,Master,Scrum Master,4
C_230,"React,Python,C++,Scrum,Azure,Pandas,Machine Learning,Java",11,Bachelor,"AWS Solutions Architect,PMP,Scrum Master",4
C_231,"Leadership,React,CI/CD,Git,Communication,Machine Learning,Kubernetes",11,Master,Machine Learning Specialization,5
C_232,"Leadership,Communication,Pandas,Deep Learning,Docker,Machine Learning",7,Bachelor,PMP,5
C_233,"Tableau,React,Node.js,Leadership",4,Bachelor,"Google Cloud Engineer,Scrum Master,Machine Learning Specialization",4
C_234,"Power BI,GCP,Deep Learning,Java",10,Master,,2
C_235,"Power BI,Deep Learning",6,Master,"Scrum Master,Machine Learning Specialization,Data Science Professional",5
C_236,"Power BI,Java,Pandas,Communication,Python,AWS,GCP,SQL,Azure",7,Bachelor,Scrum Master,4
C_237,"Excel,Tableau,Machine Learning,Communication,Scrum,Azure,CI/CD,Kubernetes,SQL",14,Bachelor,"AWS Solutions Architect,Google Cloud Engineer,PMP",0
C_238,"Azure,Kubernetes,Pandas,TypeScript,Machine Learning,AWS,C++,Git,Node.js",5,Master,Google Cloud Engineer,0
C_239,"Excel,Azure,Leadership,CI/CD,Java,Docker,GCP",9,Bachelor,,1
C_240,"SQL,Azure,Agile,Deep Learning,Scrum,AWS,Leadership,Docker",7,Master,"Scrum Master,Google Cloud Engineer,PMP",5
C_241,"React,TypeScript,Pandas,Agile,Scrum,CI/CD,Tableau,Azure",11,Bachelor,"PMP,Data Science Professional,AWS Solutions Architect",5
C_242,"CI/CD,TypeScript,Agile",11,Master,"Google Cloud Engineer,Scrum Master,Machine Learning Specialization",3
C_243,"Docker,GCP,CI/CD,Excel,Communication,Deep Learning",15,Master,,0
C_244,"Agile,TypeScript,Python",3,PhD,Scrum Master,3
C_245,"Node.js,C++",4,Master,"Google Cloud Engineer,PMP",0
C_246,"Azure,Pandas,Kubernetes,Agile,Java,SQL,React",9,Master,Scrum Master,5
C_247,"Git,Machine Learning,Python",6,Bachelor,Data Science Professional,1
C_248,"Scrum,TypeScript,Python,CI/CD,Docker,Machine Learning,Node.js,Deep Learning,Power BI,SQL",7,Bachelor,,0
C_249,"Kubernetes,GCP,Deep Learning,React,Scrum,Leadership,Pandas",0,Master,Scrum Master,2
C_250,"Agile,CI/CD,Deep Learning,Node.js,Leadership",14,Master,,0
C_251,"Machine Learning,Communication,CI/CD,React",11,PhD,"Google Cloud Engineer,Machine Learning Specialization",2
C_252,"AWS,Excel,Leadership",9,Master,,5
C_253,"C++,Tableau,Leadership,Git,CI/CD,React",9,Master,Scrum Master,3
