student_id,college_id,job_id,rank_position,match_score,predicted_relevance_score,skill_overlap_count,skill_gap_count,skill_gap_list,years_exposure_avg,jd_seniority_level,ai_trust_score,verified_skill_count,feature_importances_json,task16_explanation,skill_gap_ratio,seniority_match,trust_weighted_score,college_avg_match_score,audience,student_explanation,officer_explanation,admin_explanation,student_explanation_quality,officer_explanation_quality,admin_explanation_quality
S0001,C001,J019,2,0.74,0.661,3,3,"Git,SQL,Java",1.8,4,0.99,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.,0.9999966666777778,0,0.7326,0.7203508771929825,student,You're ranked #2 for this role. Strong match based on your skills — these cover 3 required skills. Missing: Git (required).,"This student is in the top 10% of your college's candidates for this role. AI trust score: 0.99 — proctoring cleared, parsing confidence high. Recommendation is reliable. 3 skill gap identified (Git). Student has strong foundational skills; gap is addressable. Recommended action: shortlist for interview; suggest upskilling on Git before interview date.","Top features driving this recommendation: match_score (weight 0.41), skill_overlap_count (weight 0.28), ai_trust_score (weight 0.19), skill_gap_ratio (weight 0.12). Model confidence: 0.661 (well calibrated). No counterfactual rank change applicable.",0.932737461597253,0.5388476888613475,0.4660713416485476
S0073,C001,J006,5,0.89,0.784,5,2,"Python,Git",4.7,2,0.94,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.,0.39999920000160005,0,0.8366,0.7203508771929825,student,You're ranked #5 for this role. Strong match based on your skills — these cover 5 required skills. Missing: Python (required).,"This student is in the top 25% of your college's candidates for this role. AI trust score: 0.94 — proctoring cleared, parsing confidence high. Recommendation is reliable. 2 skill gap identified (Python). Student has strong foundational skills; gap is addressable. Recommended action: shortlist for interview; suggest upskilling on Python before interview date.","Top features driving this recommendation: match_score (weight 0.41), skill_overlap_count (weight 0.28), ai_trust_score (weight 0.19), skill_gap_ratio (weight 0.12). Model confidence: 0.784 (well calibrated). No counterfactual rank change applicable.",0.932737461597253,0.932737461597253,0.38
S0099,C002,J007,4,0.58,0.57,5,3,"Docker,K8s,Java",3.2,1,0.78,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.,0.5999988000024,0,0.45239999999999997,0.7168421052631578,student,You're ranked #4 for this role. Strong match based on your skills — these cover 5 required skills. Missing: Docker (required).,"This student is in the top 20% of your college's candidates for this role. AI trust score: 0.78 — proctoring cleared, parsing confidence high. Recommendation is reliable. 3 skill gap identified (Docker). Student has strong foundational skills; gap is addressable. Recommended action: shortlist for interview; suggest upskilling on Docker before interview date.","Top features driving this recommendation: match_score (weight 0.41), skill_overlap_count (weight 0.28), ai_trust_score (weight 0.19), skill_gap_ratio (weight 0.12). Model confidence: 0.57 (well calibrated). No counterfactual rank change applicable.",0.932737461597253,0.5388476888613475,0.4660713416485476
S0024,C001,J020,3,0.92,0.857,5,3,"SQL,AWS,Java",1.4,2,0.84,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.,0.5999988000024,1,0.7728,0.7203508771929825,student,You're ranked #3 for this role. Strong match based on your skills — these cover 5 required skills. Missing: SQL (required). Adding this skill could move you to #1 for this role.,"This student is in the top 15% of your college's candidates for this role. AI trust score: 0.84 — proctoring cleared, parsing confidence high. Recommendation is reliable. 3 skill gap identified (SQL). Student has strong foundational skills; gap is addressable. Recommended action: shortlist for interview; suggest upskilling on SQL before interview date.","Top features driving this recommendation: match_score (weight 0.41), skill_overlap_count (weight 0.28), ai_trust_score (weight 0.19), skill_gap_ratio (weight 0.12). Model confidence: 0.857 (well calibrated). Rank change if SQL added: #3 -> #1 (Δ score +0.099).",0.932737461597253,0.932737461597253,0.932737461597253
S0068,C001,J001,5,0.58,0.509,5,2,"React,SQL",1.3,5,0.84,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.,0.39999920000160005,0,0.48719999999999997,0.7203508771929825,student,You're ranked #5 for this role. Strong match based on your skills — these cover 5 required skills. Missing: React (required).,"This student is in the top 25% of your college's candidates for this role. AI trust score: 0.84 — proctoring cleared, parsing confidence high. Recommendation is reliable. 2 skill gap identified (React). Student has strong foundational skills; gap is addressable. Recommended action: shortlist for interview; suggest upskilling on React before interview date.","Top features driving this recommendation: match_score (weight 0.41), skill_overlap_count (weight 0.28), ai_trust_score (weight 0.19), skill_gap_ratio (weight 0.12). Model confidence: 0.509 (well calibrated). No counterfactual rank change applicable.",0.932737461597253,0.932737461597253,0.4660713416485476
S0028,C001,J015,1,0.59,0.553,4,3,"Docker,Java,K8s",4.6,3,0.92,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.,0.7499981250046875,0,0.5428,0.7203508771929825,student,You're ranked #1 for this role. Strong match based on your skills — these cover 4 required skills. Missing: Docker (required).,"This student is in the top 5% of your college's candidates for this role. AI trust score: 0.92 — proctoring cleared, parsing confidence high. Recommendation is reliable. 3 skill gap identified (Docker). Student has strong foundational skills; gap is addressable. Recommended action: shortlist for interview; suggest upskilling on Docker before interview date.","Top features driving this recommendation: match_score (weight 0.41), skill_overlap_count (weight 0.28), ai_trust_score (weight 0.19), skill_gap_ratio (weight 0.12). Model confidence: 0.553 (well calibrated). No counterfactual rank change applicable.",0.932737461597253,0.5388476888613475,0.4660713416485476
S0095,C005,J003,4,0.88,0.771,2,3,"React,AWS,Java",4.2,3,0.87,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 4.,1.4999925000374998,1,0.7656,0.7295145631067961,student,You're ranked #4 for this role. Strong match based on your skills — these cover 2 required skills. Missing: React (required).,"This student is in the top 20% of your college's candidates for this role. AI trust score: 0.87 — proctoring cleared, parsing confidence high. Recommendation is reliable. 3 skill gap identified (React). Student has strong foundational skills; gap is addressable. Recommended action: shortlist for interview; suggest upskilling on React before interview date.","Top features driving this recommendation: match_score (weight 0.41), skill_overlap_count (weight 0.28), ai_trust_score (weight 0.19), skill_gap_ratio (weight 0.12). Model confidence: 0.771 (well calibrated). No counterfactual rank change applicable.",0.932737461597253,0.5388476888613475,0.4660713416485476
S0027,C002,J010,2,0.65,0.62,2,2,"AWS,Python",1.3,5,0.72,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.,0.9999950000249999,0,0.46799999999999997,0.7168421052631578,student,You're ranked #2 for this role. Strong match based on your skills — these cover 2 required skills. Missing: AWS (required).,"This student is in the top 10% of your college's candidates for this role. AI trust score: 0.72 — proctoring cleared, parsing confidence high. Recommendation is reliable. 2 skill gap identified (AWS). Student has strong foundational skills; gap is addressable. Recommended action: shortlist for interview; suggest upskilling on AWS before interview date.","Top features driving this recommendation: match_score (weight 0.41), skill_overlap_count (weight 0.28), ai_trust_score (weight 0.19), skill_gap_ratio (weight 0.12). Model confidence: 0.62 (well calibrated). No counterfactual rank change applicable.",0.932737461597253,0.932737461597253,0.4660713416485476
S0008,C001,J014,4,0.9,0.763,3,1,Java,4.9,2,0.95,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 4.,0.3333322222259259,0,0.855,0.7203508771929825,student,You're ranked #4 for this role. Strong match based on your skills — these cover 3 required skills. Missing: Java (required).,"This student is in the top 20% of your college's candidates for this role. AI trust score: 0.95 — proctoring cleared, parsing confidence high. Recommendation is reliable. 1 skill gap identified (Java). Student has strong foundational skills; gap is addressable. Recommended action: shortlist for interview; suggest upskilling on Java before interview date.","Top features driving this recommendation: match_score (weight 0.41), skill_overlap_count (weight 0.28), ai_trust_score (weight 0.19), skill_gap_ratio (weight 0.12). Model confidence: 0.763 (well calibrated). No counterfactual rank change applicable.",0.932737461597253,0.5388476888613475,0.4660713416485476
S0060,C003,J005,1,0.87,0.76,5,0,,4.2,4,0.82,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.,0.0,1,0.7133999999999999,0.725934065934066,student,You're ranked #1 for this role. You are top-ranked for this role; no skill gaps identified.,"This student is in the top 5% of your college's candidates for this role. AI trust score: 0.82 — proctoring cleared, parsing confidence high. Recommendation is reliable. No skill gaps identified. Recommended action: shortlist for interview immediately.","Top features driving this recommendation: match_score (weight 0.41), skill_overlap_count (weight 0.28), ai_trust_score (weight 0.19), skill_gap_ratio (weight 0.12). Model confidence: 0.76 (well calibrated). No counterfactual rank change applicable.",0.4660713416485476,0.38,0.4660713416485476
S0030,C005,J019,1,0.68,0.605,3,2,"Git,Docker",0.9,1,0.83,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.,0.6666644444518518,1,0.5644,0.7295145631067961,student,You're ranked #1 for this role. Strong match based on your skills — these cover 3 required skills. Missing: Git (required).,"This student is in the top 5% of your college's candidates for this role. AI trust score: 0.83 — proctoring cleared, parsing confidence high. Recommendation is reliable. 2 skill gap identified (Git). Student has strong foundational skills; gap is addressable. Recommended action: shortlist for interview; suggest upskilling on Git before interview date.","Top features driving this recommendation: match_score (weight 0.41), skill_overlap_count (weight 0.28), ai_trust_score (weight 0.19), skill_gap_ratio (weight 0.12). Model confidence: 0.605 (well calibrated). No counterfactual rank change applicable.",0.932737461597253,0.5388476888613475,0.4660713416485476
S0001,C005,J016,5,0.83,0.752,3,0,,2.1,4,0.86,4,,Good match overall for this role based on profile.,0.0,0,0.7138,0.7295145631067961,student,You're ranked #5 for this role. Strong match based on your skills — these cover 3 required skills.,"This student is in the top 25% of your college's candidates for this role. AI trust score: 0.86 — proctoring cleared, parsing confidence high. Recommendation is reliable. No skill gaps identified. Recommended action: shortlist for interview immediately.",Feature attribution unavailable — explanation based on match_score only. Model confidence: 0.752 (well calibrated). No counterfactual rank change applicable.,0.4660713416485476,0.4660713416485476,0.4660713416485476
S0069,C004,J015,1,0.64,0.624,2,3,"Docker,K8s,React",2.0,2,0.98,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.,1.4999925000374998,1,0.6272,0.7308247422680413,student,You're ranked #1 for this role. Strong match based on your skills — these cover 2 required skills. Missing: Docker (required).,"This student is in the top 5% of your college's candidates for this role. AI trust score: 0.98 — proctoring cleared, parsing confidence high. Recommendation is reliable. 3 skill gap identified (Docker). Student has strong foundational skills; gap is addressable. Recommended action: shortlist for interview; suggest upskilling on Docker before interview date.","Top features driving this recommendation: match_score (weight 0.41), skill_overlap_count (weight 0.28), ai_trust_score (weight 0.19), skill_gap_ratio (weight 0.12). Model confidence: 0.624 (well calibrated). No counterfactual rank change applicable.",0.932737461597253,0.5388476888613475,0.4660713416485476
S0019,C002,J001,5,0.81,0.741,5,2,"Java,K8s",3.2,1,0.94,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.,0.39999920000160005,0,0.7614,0.7168421052631578,student,You're ranked #5 for this role. Strong match based on your skills — these cover 5 required skills. Missing: Java (required).,"This student is in the top 25% of your college's candidates for this role. AI trust score: 0.94 — proctoring cleared, parsing confidence high. Recommendation is reliable. 2 skill gap identified (Java). Student has strong foundational skills; gap is addressable. Recommended action: shortlist for interview; suggest upskilling on Java before interview date.","Top features driving this recommendation: match_score (weight 0.41), skill_overlap_count (weight 0.28), ai_trust_score (weight 0.19), skill_gap_ratio (weight 0.12). Model confidence: 0.741 (well calibrated). No counterfactual rank change applicable.",0.932737461597253,0.932737461597253,0.38
S0040,C001,J010,3,0.59,0.488,4,1,K8s,3.3,5,0.95,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 3.,0.24999937500156252,0,0.5605,0.7203508771929825,student,You're ranked #3 for this role. Strong match based on your skills — these cover 4 required skills. Missing: K8s (required).,"This student is in the top 15% of your college's candidates for this role. AI trust score: 0.95 — proctoring cleared, parsing confidence high. Recommendation is reliable. 1 skill gap identified (K8s). Student has strong foundational skills; gap is addressable. Recommended action: shortlist for interview; suggest upskilling on K8s before interview date.","Top features driving this recommendation: match_score (weight 0.41), skill_overlap_count (weight 0.28), ai_trust_score (weight 0.19), skill_gap_ratio (weight 0.12). Model confidence: 0.488 (well calibrated). No counterfactual rank change applicable.",0.932737461597253,0.5388476888613475,0.38
S0058,C004,J018,5,0.92,0.782,2,0,,4.8,4,0.75,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.,0.0,1,0.6900000000000001,0.7308247422680413,student,You're ranked #5 for this role. Strong match based on your skills — these cover 2 required skills.,"This student is in the top 25% of your college's candidates for this role. AI trust score: 0.75 — proctoring cleared, parsing confidence high. Recommendation is reliable. No skill gaps identified. Recommended action: shortlist for interview immediately.","Top features driving this recommendation: match_score (weight 0.41), skill_overlap_count (weight 0.28), ai_trust_score (weight 0.19), skill_gap_ratio (weight 0.12). Model confidence: 0.782 (well calibrated). No counterfactual rank change applicable.",0.4660713416485476,0.4660713416485476,0.38
S0036,C003,J018,1,0.85,0.749,3,0,,2.1,5,0.91,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.,0.0,0,0.7735,0.725934065934066,student,You're ranked #1 for this role. You are top-ranked for this role; no skill gaps identified.,"This student is in the top 5% of your college's candidates for this role. AI trust score: 0.91 — proctoring cleared, parsing confidence high. Recommendation is reliable. No skill gaps identified. Recommended action: shortlist for interview immediately.","Top features driving this recommendation: match_score (weight 0.41), skill_overlap_count (weight 0.28), ai_trust_score (weight 0.19), skill_gap_ratio (weight 0.12). Model confidence: 0.749 (well calibrated). No counterfactual rank change applicable.",0.4660713416485476,0.4660713416485476,0.4660713416485476
S0089,C004,J013,3,0.54,0.441,2,0,,4.2,1,0.79,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.,0.0,0,0.42660000000000003,0.7308247422680413,student,You're ranked #3 for this role. Strong match based on your skills — these cover 2 required skills.,"This student is in the top 15% of your college's candidates for this role. AI trust score: 0.79 — proctoring cleared, parsing confidence high. Recommendation is reliable. No skill gaps identified. Recommended action: shortlist for interview immediately.","Top features driving this recommendation: match_score (weight 0.41), skill_overlap_count (weight 0.28), ai_trust_score (weight 0.19), skill_gap_ratio (weight 0.12). Model confidence: 0.441 (well calibrated). No counterfactual rank change applicable.",0.4660713416485476,0.38,0.38
S0016,C002,J005,3,0.77,0.698,2,3,"AWS,Docker,SQL",0.3,2,0.83,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.,1.4999925000374998,0,0.6391,0.7168421052631578,student,You're ranked #3 for this role. Strong match based on your skills — these cover 2 required skills. Missing: AWS (required).,"This student is in the top 15% of your college's candidates for this role. AI trust score: 0.83 — proctoring cleared, parsing confidence high. Recommendation is reliable. 3 skill gap identified (AWS). Student has strong foundational skills; gap is addressable. Recommended action: shortlist for interview; suggest upskilling on AWS before interview date.","Top features driving this recommendation: match_score (weight 0.41), skill_overlap_count (weight 0.28), ai_trust_score (weight 0.19), skill_gap_ratio (weight 0.12). Model confidence: 0.698 (well calibrated). No counterfactual rank change applicable.",0.932737461597253,0.932737461597253,0.38
S0009,C004,J010,2,0.78,0.662,4,1,React,0.4,5,0.77,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 2.,0.24999937500156252,0,0.6006,0.7308247422680413,student,You're ranked #2 for this role. Strong match based on your skills — these cover 4 required skills. Missing: React (required).,"This student is in the top 10% of your college's candidates for this role. AI trust score: 0.77 — proctoring cleared, parsing confidence high. Recommendation is reliable. 1 skill gap identified (React). Student has strong foundational skills; gap is addressable. Recommended action: shortlist for interview; suggest upskilling on React before interview date.","Top features driving this recommendation: match_score (weight 0.41), skill_overlap_count (weight 0.28), ai_trust_score (weight 0.19), skill_gap_ratio (weight 0.12). Model confidence: 0.662 (well calibrated). No counterfactual rank change applicable.",0.932737461597253,0.5388476888613475,0.4660713416485476
S0017,C004,J007,1,0.77,0.678,5,0,,1.9,3,0.77,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.,0.0,1,0.5929,0.7308247422680413,student,You're ranked #1 for this role. You are top-ranked for this role; no skill gaps identified.,"This student is in the top 5% of your college's candidates for this role. AI trust score: 0.77 — proctoring cleared, parsing confidence high. Recommendation is reliable. No skill gaps identified. Recommended action: shortlist for interview immediately.","Top features driving this recommendation: match_score (weight 0.41), skill_overlap_count (weight 0.28), ai_trust_score (weight 0.19), skill_gap_ratio (weight 0.12). Model confidence: 0.678 (well calibrated). No counterfactual rank change applicable.",0.4660713416485476,0.38,0.4660713416485476
S0092,C005,J020,4,0.85,0.797,4,0,,3.4,4,0.98,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 4.,0.0,1,0.833,0.7295145631067961,student,You're ranked #4 for this role. Strong match based on your skills — these cover 4 required skills.,"This student is in the top 20% of your college's candidates for this role. AI trust score: 0.98 — proctoring cleared, parsing confidence high. Recommendation is reliable. No skill gaps identified. Recommended action: shortlist for interview immediately.","Top features driving this recommendation: match_score (weight 0.41), skill_overlap_count (weight 0.28), ai_trust_score (weight 0.19), skill_gap_ratio (weight 0.12). Model confidence: 0.797 (well calibrated). No counterfactual rank change applicable.",0.4660713416485476,0.38,0.4660713416485476
